post_code,year,average_price,volume,sector
2000.0,2017,6667000,1542,NSW
2007.0,2017,1097000,319,NSW
2008.0,2017,5353000,449,NSW
2009.0,2017,7869000,513,NSW
2010.0,2017,3090000,1134,NSW
2011.0,2017,1376000,818,NSW
2015.0,2017,1685000,670,NSW
2016.0,2017,1334000,308,NSW
2017.0,2017,1026000,1660,NSW
2018.0,2017,1129000,482,NSW
2019.0,2017,1732000,560,NSW
2020.0,2017,1914000,1282,NSW
2021.0,2017,2100000,431,NSW
2022.0,2017,1946000,550,NSW
2023.0,2017,2935000,254,NSW
2024.0,2017,2203000,238,NSW
2025.0,2017,3512000,200,NSW
2026.0,2017,1877000,990,NSW
2027.0,2017,4326000,326,NSW
2028.0,2017,3801000,185,NSW
2029.0,2017,2444000,230,NSW
2030.0,2017,3172000,315,NSW
2031.0,2017,1788000,678,NSW
2032.0,2017,2355000,147,NSW
2033.0,2017,1243000,421,NSW
2034.0,2017,2054000,369,NSW
2035.0,2017,2124000,555,NSW
2036.0,2017,1208000,670,NSW
2037.0,2017,1675000,328,NSW
2038.0,2017,1626000,235,NSW
2039.0,2017,1726000,259,NSW
2040.0,2017,1525000,464,NSW
2041.0,2017,2116000,379,NSW
2042.0,2017,1442000,483,NSW
2043.0,2017,1017000,265,NSW
2044.0,2017,1669000,194,NSW
2045.0,2017,7496000,71,NSW
2046.0,2017,1867000,667,NSW
2047.0,2017,2023000,290,NSW
2048.0,2017,1913000,154,NSW
2049.0,2017,1125000,397,NSW
2050.0,2017,1125000,290,NSW
2060.0,2017,3577000,618,NSW
2061.0,2017,5317000,147,NSW
2062.0,2017,2089000,200,NSW
2063.0,2017,2971000,121,NSW
2064.0,2017,1578000,182,NSW
2065.0,2017,7718000,1020,NSW
2066.0,2017,1562000,1131,NSW
2067.0,2017,1497000,964,NSW
2068.0,2017,3964000,442,NSW
2069.0,2017,2226000,427,NSW
2070.0,2017,1919000,329,NSW
2071.0,2017,2200000,301,NSW
2072.0,2017,1419000,408,NSW
2073.0,2017,2566000,305,NSW
2074.0,2017,2019000,552,NSW
2075.0,2017,1725000,576,NSW
2076.0,2017,1971000,430,NSW
2077.0,2017,936000,1558,NSW
2079.0,2017,977000,130,NSW
2080.0,2017,863000,40,NSW
2081.0,2017,1040000,83,NSW
2082.0,2017,1021000,79,NSW
2083.0,2017,807000,66,NSW
2084.0,2017,2717000,49,NSW
2085.0,2017,2778000,249,NSW
2086.0,2017,1756000,185,NSW
2087.0,2017,2003000,158,NSW
2088.0,2017,2532000,928,NSW
2089.0,2017,1593000,401,NSW
2090.0,2017,5681000,692,NSW
2092.0,2017,2796000,140,NSW
2093.0,2017,2000000,508,NSW
2094.0,2017,1773000,153,NSW
2095.0,2017,1790000,507,NSW
2096.0,2017,1490000,367,NSW
2097.0,2017,1654000,291,NSW
2099.0,2017,1177000,994,NSW
2100.0,2017,1217000,530,NSW
2101.0,2017,1574000,448,NSW
2102.0,2017,1429000,184,NSW
2103.0,2017,1996000,229,NSW
2104.0,2017,2613000,64,NSW
2105.0,2017,1554000,59,NSW
2106.0,2017,1740000,234,NSW
2107.0,2017,2026000,353,NSW
2108.0,2017,2687000,95,NSW
2110.0,2017,3222000,195,NSW
2111.0,2017,1337000,509,NSW
2112.0,2017,1185000,980,NSW
2113.0,2017,2908000,915,NSW
2114.0,2017,1439000,549,NSW
2115.0,2017,878000,584,NSW
2116.0,2017,1446000,144,NSW
