post_code,year,average_price,volume,sector
2000.0,2007,3118000,2265,NSW
2007.0,2007,1703000,414,NSW
2008.0,2007,23148000,242,NSW
2009.0,2007,944000,771,NSW
2010.0,2007,863000,1458,NSW
2011.0,2007,947000,1621,NSW
2015.0,2007,951000,758,NSW
2016.0,2007,680000,340,NSW
2017.0,2007,651000,730,NSW
2018.0,2007,874000,302,NSW
2019.0,2007,974000,316,NSW
2020.0,2007,623000,349,NSW
2021.0,2007,1097000,636,NSW
2022.0,2007,867000,490,NSW
2023.0,2007,1898000,360,NSW
2024.0,2007,1190000,307,NSW
2025.0,2007,1408000,357,NSW
2026.0,2007,1146000,1254,NSW
2027.0,2007,1759000,441,NSW
2028.0,2007,2098000,148,NSW
2029.0,2007,1276000,368,NSW
2030.0,2007,2301000,415,NSW
2031.0,2007,887000,1125,NSW
2032.0,2007,748000,337,NSW
2033.0,2007,722000,387,NSW
2034.0,2007,959000,552,NSW
2035.0,2007,1074000,881,NSW
2036.0,2007,1180000,517,NSW
2037.0,2007,3648000,452,NSW
2038.0,2007,819000,301,NSW
2039.0,2007,874000,308,NSW
2040.0,2007,703000,698,NSW
2041.0,2007,1054000,550,NSW
2042.0,2007,592000,607,NSW
2043.0,2007,730000,361,NSW
2044.0,2007,603000,272,NSW
2045.0,2007,1043000,103,NSW
2046.0,2007,737000,736,NSW
2047.0,2007,800000,428,NSW
2048.0,2007,606000,223,NSW
2049.0,2007,654000,320,NSW
2050.0,2007,771000,398,NSW
2057.0,2007,996000,2,NSW
2060.0,2007,1624000,727,NSW
2061.0,2007,1481000,379,NSW
2062.0,2007,892000,229,NSW
2063.0,2007,1768000,167,NSW
2064.0,2007,907000,397,NSW
2065.0,2007,861000,1323,NSW
2066.0,2007,1006000,779,NSW
2067.0,2007,1063000,1061,NSW
2068.0,2007,1488000,427,NSW
2069.0,2007,1296000,398,NSW
2070.0,2007,1797000,322,NSW
2071.0,2007,1488000,265,NSW
2072.0,2007,1321000,179,NSW
2073.0,2007,1199000,319,NSW
2074.0,2007,1146000,451,NSW
2075.0,2007,1069000,425,NSW
