post_code,year,average_price,volume,sector
0.0,2011,1000,1,NSW
2000.0,2011,3266000,1821,NSW
2007.0,2011,620000,696,NSW
2008.0,2011,682000,155,NSW
2009.0,2011,1005000,599,NSW
2010.0,2011,896000,1230,NSW
2011.0,2011,923000,1002,NSW
2015.0,2011,734000,566,NSW
2016.0,2011,662000,355,NSW
2017.0,2011,606000,685,NSW
2018.0,2011,674000,289,NSW
2019.0,2011,1889000,230,NSW
2020.0,2011,783000,343,NSW
2021.0,2011,1376000,500,NSW
2022.0,2011,1005000,338,NSW
2023.0,2011,1945000,291,NSW
2024.0,2011,1179000,260,NSW
2025.0,2011,1752000,195,NSW
2026.0,2011,1280000,806,NSW
2027.0,2011,2304000,263,NSW
2028.0,2011,1793000,152,NSW
2029.0,2011,1858000,263,NSW
2030.0,2011,2363000,302,NSW
2031.0,2011,1058000,772,NSW
2032.0,2011,722000,323,NSW
2033.0,2011,1302000,266,NSW
2034.0,2011,1173000,507,NSW
2035.0,2011,842000,608,NSW
2036.0,2011,800000,619,NSW
2037.0,2011,3327000,332,NSW
2038.0,2011,1708000,223,NSW
2039.0,2011,1172000,238,NSW
2040.0,2011,868000,544,NSW
2041.0,2011,1189000,464,NSW
2042.0,2011,1063000,476,NSW
2043.0,2011,741000,233,NSW
2044.0,2011,732000,196,NSW
2045.0,2011,1983000,83,NSW
2046.0,2011,839000,648,NSW
2047.0,2011,3771000,412,NSW
2048.0,2011,786000,176,NSW
2049.0,2011,702000,235,NSW
2050.0,2011,682000,338,NSW
2060.0,2011,3138000,608,NSW
2061.0,2011,1309000,199,NSW
2062.0,2011,888000,190,NSW
2063.0,2011,1629000,105,NSW
2064.0,2011,1181000,238,NSW
2065.0,2011,877000,1126,NSW
2066.0,2011,937000,725,NSW
2067.0,2011,1646000,1012,NSW
2068.0,2011,1323000,289,NSW
2069.0,2011,1533000,278,NSW
2070.0,2011,2317000,243,NSW
2071.0,2011,1099000,386,NSW
2072.0,2011,1321000,332,NSW
2073.0,2011,937000,486,NSW
2074.0,2011,1157000,493,NSW
2075.0,2011,1025000,445,NSW
2076.0,2011,1163000,449,NSW
2077.0,2011,545000,880,NSW
2079.0,2011,640000,82,NSW
2080.0,2011,514000,32,NSW
2081.0,2011,1556000,64,NSW
2082.0,2011,604000,89,NSW
2083.0,2011,646000,50,NSW
2084.0,2011,1340000,45,NSW
2085.0,2011,782000,204,NSW
2086.0,2011,1410000,228,NSW
2087.0,2011,907000,191,NSW
2088.0,2011,1701000,869,NSW
2089.0,2011,857000,427,NSW
