post_code,year,average_price,volume,sector
2000.0,2014,4707000,1758,NSW
2007.0,2014,829000,334,NSW
2008.0,2014,832000,1081,NSW
2009.0,2014,1194000,507,NSW
2010.0,2014,2755000,1114,NSW
2011.0,2014,1127000,1129,NSW
2015.0,2014,2018000,621,NSW
2016.0,2014,1068000,437,NSW
2017.0,2014,1084000,1673,NSW
2018.0,2014,1535000,276,NSW
2019.0,2014,856000,469,NSW
2020.0,2014,659000,1225,NSW
2021.0,2014,1522000,496,NSW
2022.0,2014,1614000,407,NSW
2023.0,2014,2392000,328,NSW
2024.0,2014,1606000,268,NSW
2025.0,2014,1797000,262,NSW
2026.0,2014,1588000,916,NSW
2027.0,2014,2662000,342,NSW
2028.0,2014,2171000,177,NSW
2029.0,2014,1642000,277,NSW
2030.0,2014,2586000,411,NSW
2031.0,2014,1220000,909,NSW
2032.0,2014,1141000,260,NSW
2033.0,2014,1166000,209,NSW
2034.0,2014,1270000,447,NSW
2035.0,2014,1102000,702,NSW
2036.0,2014,853000,862,NSW
2037.0,2014,1023000,716,NSW
2038.0,2014,1675000,250,NSW
2039.0,2014,1147000,222,NSW
2040.0,2014,1169000,546,NSW
2041.0,2014,1412000,419,NSW
2042.0,2014,970000,443,NSW
2043.0,2014,1292000,309,NSW
2044.0,2014,1043000,230,NSW
2045.0,2014,1436000,129,NSW
2046.0,2014,1049000,672,NSW
2047.0,2014,1190000,327,NSW
2048.0,2014,1037000,190,NSW
2049.0,2014,1026000,288,NSW
2050.0,2014,849000,438,NSW
2060.0,2014,1844000,972,NSW
2061.0,2014,1798000,277,NSW
2062.0,2014,1326000,241,NSW
2063.0,2014,2420000,128,NSW
2064.0,2014,1370000,243,NSW
2065.0,2014,1224000,1260,NSW
2066.0,2014,1130000,1159,NSW
2067.0,2014,902000,5970,NSW
2068.0,2014,1519000,391,NSW
2069.0,2014,1627000,347,NSW
2070.0,2014,2084000,296,NSW
2071.0,2014,1553000,371,NSW
2072.0,2014,1175000,275,NSW
2073.0,2014,1601000,385,NSW
2074.0,2014,1267000,548,NSW
2075.0,2014,1163000,649,NSW
2076.0,2014,1311000,608,NSW
2077.0,2014,686000,1129,NSW
2079.0,2014,758000,118,NSW
2080.0,2014,676000,53,NSW
2081.0,2014,747000,78,NSW
2082.0,2014,724000,105,NSW
2083.0,2014,526000,57,NSW
2084.0,2014,2044000,68,NSW
2085.0,2014,1509000,260,NSW
2086.0,2014,1090000,264,NSW
2087.0,2014,1172000,205,NSW
2088.0,2014,1817000,986,NSW
2089.0,2014,1384000,451,NSW
2090.0,2014,2141000,432,NSW
2092.0,2014,1687000,170,NSW
2093.0,2014,1289000,627,NSW
2094.0,2014,1214000,175,NSW
2095.0,2014,1227000,567,NSW
2096.0,2014,1054000,410,NSW
2097.0,2014,1084000,378,NSW
2099.0,2014,1663000,1312,NSW
2100.0,2014,955000,569,NSW
2101.0,2014,989000,449,NSW
2102.0,2014,736000,362,NSW
2103.0,2014,1077000,335,NSW
2104.0,2014,1764000,68,NSW
2105.0,2014,1242000,57,NSW
2106.0,2014,1136000,318,NSW
2107.0,2014,1229000,437,NSW
2108.0,2014,2656000,83,NSW
2110.0,2014,1728000,240,NSW
2111.0,2014,1200000,357,NSW
2112.0,2014,1157000,1005,NSW
2113.0,2014,1030000,982,NSW
2114.0,2014,1353000,591,NSW
2115.0,2014,1737000,227,NSW
2116.0,2014,1459000,173,NSW
2117.0,2014,777000,517,NSW
2118.0,2014,4609000,538,NSW
2119.0,2014,1276000,255,NSW
2120.0,2014,912000,383,NSW
2121.0,2014,1077000,721,NSW
2122.0,2014,1035000,568,NSW
2125.0,2014,1099000,293,NSW
2126.0,2014,960000,262,NSW
2127.0,2014,607000,837,NSW
2128.0,2014,1606000,104,NSW
2130.0,2014,875000,221,NSW
2131.0,2014,903000,515,NSW
2132.0,2014,1102000,152,NSW
2133.0,2014,861000,210,NSW
2134.0,2014,1545000,285,NSW
2135.0,2014,1092000,772,NSW
2136.0,2014,1016000,187,NSW
2137.0,2014,2254000,850,NSW
2138.0,2014,690000,1238,NSW
2140.0,2014,887000,653,NSW
2141.0,2014,822000,596,NSW
2142.0,2014,904000,673,NSW
2143.0,2014,553000,333,NSW
2144.0,2014,702000,736,NSW
2145.0,2014,652000,1662,NSW
2146.0,2014,613000,351,NSW
2147.0,2014,620000,663,NSW
2148.0,2014,675000,1418,NSW
2150.0,2014,1138000,1354,NSW
2151.0,2014,790000,443,NSW
2152.0,2014,644000,314,NSW
2153.0,2014,820000,1427,NSW
2154.0,2014,965000,904,NSW
2155.0,2014,841000,2174,NSW
2156.0,2014,1348000,253,NSW
2157.0,2014,1157000,67,NSW
2158.0,2014,1261000,219,NSW
2159.0,2014,1076000,88,NSW
2160.0,2014,596000,811,NSW
2161.0,2014,623000,698,NSW
2162.0,2014,631000,348,NSW
2163.0,2014,705000,149,NSW
2164.0,2014,900000,431,NSW
2165.0,2014,714000,682,NSW
2166.0,2014,535000,809,NSW
2167.0,2014,441000,243,NSW
2168.0,2014,478000,747,NSW
2170.0,2014,556000,2515,NSW
2171.0,2014,575000,1281,NSW
2172.0,2014,580000,69,NSW
2173.0,2014,590000,203,NSW
2174.0,2014,680000,244,NSW
2175.0,2014,1220000,26,NSW
2176.0,2014,648000,559,NSW
2177.0,2014,1303000,121,NSW
2178.0,2014,1401000,48,NSW
2179.0,2014,484000,403,NSW
2190.0,2014,806000,414,NSW
2191.0,2014,862000,116,NSW
2192.0,2014,738000,212,NSW
2193.0,2014,1141000,260,NSW
2194.0,2014,843000,642,NSW
2195.0,2014,539000,550,NSW
2196.0,2014,607000,693,NSW
2197.0,2014,652000,151,NSW
2198.0,2014,662000,170,NSW
2199.0,2014,588000,345,NSW
2200.0,2014,651000,1044,NSW
2203.0,2014,1018000,312,NSW
2204.0,2014,726000,725,NSW
2205.0,2014,921000,1317,NSW
2206.0,2014,915000,296,NSW
2207.0,2014,838000,514,NSW
2208.0,2014,1050000,203,NSW
2209.0,2014,779000,261,NSW
2210.0,2014,1013000,556,NSW
2211.0,2014,837000,365,NSW
2212.0,2014,827000,345,NSW
2213.0,2014,763000,383,NSW
2214.0,2014,1166000,76,NSW
2216.0,2014,716000,685,NSW
2217.0,2014,758000,733,NSW
2218.0,2014,739000,266,NSW
2219.0,2014,891000,370,NSW
2220.0,2014,1025000,715,NSW
2221.0,2014,1227000,358,NSW
2222.0,2014,666000,276,NSW
2223.0,2014,900000,501,NSW
2224.0,2014,1071000,320,NSW
2225.0,2014,967000,109,NSW
2226.0,2014,761000,231,NSW
2227.0,2014,835000,340,NSW
2228.0,2014,788000,459,NSW
2229.0,2014,1231000,883,NSW
2230.0,2014,963000,1016,NSW
2231.0,2014,837000,35,NSW
2232.0,2014,767000,758,NSW
2233.0,2014,685000,548,NSW
2234.0,2014,821000,528,NSW
2250.0,2014,502000,1952,NSW
2251.0,2014,600000,834,NSW
2256.0,2014,771000,523,NSW
2257.0,2014,567000,967,NSW
2258.0,2014,564000,149,NSW
2259.0,2014,506000,1747,NSW
2260.0,2014,788000,743,NSW
2261.0,2014,453000,1717,NSW
2262.0,2014,344000,594,NSW
2263.0,2014,416000,789,NSW
2264.0,2014,400000,490,NSW
2265.0,2014,452000,172,NSW
2267.0,2014,429000,79,NSW
2278.0,2014,373000,46,NSW
2280.0,2014,548000,554,NSW
2281.0,2014,454000,381,NSW
2282.0,2014,612000,342,NSW
2283.0,2014,419000,605,NSW
2284.0,2014,416000,243,NSW
2285.0,2014,436000,850,NSW
2286.0,2014,236000,160,NSW
2287.0,2014,401000,999,NSW
2289.0,2014,551000,382,NSW
2290.0,2014,517000,855,NSW
2291.0,2014,828000,343,NSW
2292.0,2014,1130000,109,NSW
2293.0,2014,549000,65,NSW
2294.0,2014,495000,85,NSW
2295.0,2014,762000,141,NSW
2296.0,2014,395000,107,NSW
2297.0,2014,437000,43,NSW
2298.0,2014,447000,253,NSW
2299.0,2014,484000,262,NSW
2300.0,2014,946000,447,NSW
2302.0,2014,736000,84,NSW
2303.0,2014,668000,216,NSW
2304.0,2014,470000,404,NSW
2305.0,2014,580000,296,NSW
2306.0,2014,238000,41,NSW
2307.0,2014,403000,96,NSW
2311.0,2014,516000,36,NSW
2312.0,2014,403000,48,NSW
2315.0,2014,427000,830,NSW
2316.0,2014,597000,146,NSW
2317.0,2014,510000,237,NSW
2318.0,2014,485000,363,NSW
2319.0,2014,380000,210,NSW
2320.0,2014,442000,1190,NSW
2321.0,2014,330000,505,NSW
2322.0,2014,465000,452,NSW
2323.0,2014,387000,540,NSW
2324.0,2014,369000,669,NSW
2325.0,2014,345000,688,NSW
2326.0,2014,268000,159,NSW
2327.0,2014,326000,164,NSW
2328.0,2014,409000,28,NSW
2329.0,2014,1093000,89,NSW
2330.0,2014,498000,373,NSW
2333.0,2014,342000,228,NSW
2334.0,2014,335000,71,NSW
2335.0,2014,400000,131,NSW
2336.0,2014,422000,45,NSW
2337.0,2014,518000,179,NSW
2338.0,2014,235000,45,NSW
2339.0,2014,420000,21,NSW
2340.0,2014,348000,1500,NSW
2341.0,2014,125000,49,NSW
2342.0,2014,728000,14,NSW
2343.0,2014,341000,124,NSW
2344.0,2014,522000,17,NSW
2345.0,2014,340000,16,NSW
2346.0,2014,405000,102,NSW
2347.0,2014,140000,56,NSW
2350.0,2014,403000,657,NSW
2352.0,2014,261000,76,NSW
2353.0,2014,285000,21,NSW
2354.0,2014,283000,149,NSW
2355.0,2014,303000,28,NSW
2356.0,2014,37000,4,NSW
2357.0,2014,197000,117,NSW
2358.0,2014,274000,76,NSW
2359.0,2014,205000,27,NSW
2360.0,2014,264000,392,NSW
2361.0,2014,209000,33,NSW
2365.0,2014,388000,138,NSW
2369.0,2014,139000,20,NSW
2370.0,2014,237000,246,NSW
2371.0,2014,213000,57,NSW
2372.0,2014,269000,171,NSW
2379.0,2014,1056000,12,NSW
2380.0,2014,499000,277,NSW
2381.0,2014,455000,35,NSW
2382.0,2014,511000,67,NSW
2386.0,2014,706000,7,NSW
2387.0,2014,1834000,8,NSW
2388.0,2014,524000,66,NSW
2390.0,2014,417000,225,NSW
2395.0,2014,122000,27,NSW
2396.0,2014,486000,26,NSW
2397.0,2014,333000,22,NSW
2398.0,2014,3583000,7,NSW
2399.0,2014,309000,13,NSW
2400.0,2014,392000,292,NSW
2401.0,2014,370000,10,NSW
2402.0,2014,611000,43,NSW
2403.0,2014,1142000,26,NSW
2404.0,2014,248000,43,NSW
2405.0,2014,1175000,14,NSW
2406.0,2014,892000,30,NSW
2408.0,2014,10771000,7,NSW
2409.0,2014,1633000,17,NSW
2410.0,2014,93000,10,NSW
2411.0,2014,1770000,1,NSW
2415.0,2014,361000,17,NSW
2420.0,2014,377000,118,NSW
2421.0,2014,393000,50,NSW
2422.0,2014,374000,190,NSW
2423.0,2014,302000,91,NSW
2424.0,2014,368000,20,NSW
2425.0,2014,321000,53,NSW
2426.0,2014,321000,19,NSW
2427.0,2014,282000,161,NSW
2428.0,2014,346000,947,NSW
2429.0,2014,347000,301,NSW
2430.0,2014,327000,1144,NSW
2431.0,2014,317000,177,NSW
2439.0,2014,350000,71,NSW
2440.0,2014,238000,521,NSW
2441.0,2014,318000,136,NSW
2443.0,2014,382000,220,NSW
2444.0,2014,420000,1781,NSW
2445.0,2014,429000,178,NSW
2446.0,2014,351000,397,NSW
2447.0,2014,382000,231,NSW
2448.0,2014,341000,250,NSW
2449.0,2014,184000,64,NSW
2450.0,2014,412000,1428,NSW
2452.0,2014,378000,359,NSW
2453.0,2014,310000,83,NSW
2454.0,2014,499000,194,NSW
2455.0,2014,402000,73,NSW
2456.0,2014,381000,369,NSW
2460.0,2014,298000,794,NSW
2462.0,2014,257000,98,NSW
2463.0,2014,338000,239,NSW
2464.0,2014,423000,228,NSW
