post_code,year,average_price,volume,sector
0.0,2002,300000,1,NSW
9.0,2002,420000,1,NSW
1335.0,2002,30000,10,NSW
1460.0,2002,197000,1,NSW
1470.0,2002,605000,1,NSW
2000.0,2002,1178000,2720,NSW
2001.0,2002,525000,1,NSW
2007.0,2002,463000,327,NSW
2008.0,2002,508000,284,NSW
2009.0,2002,545000,1026,NSW
2010.0,2002,679000,1812,NSW
2011.0,2002,780000,1537,NSW
2015.0,2002,551000,910,NSW
2016.0,2002,473000,445,NSW
2017.0,2002,593000,495,NSW
2018.0,2002,595000,288,NSW
2019.0,2002,826000,318,NSW
2020.0,2002,479000,239,NSW
2021.0,2002,834000,620,NSW
2022.0,2002,821000,409,NSW
2023.0,2002,1298000,333,NSW
2024.0,2002,741000,314,NSW
2025.0,2002,1141000,286,NSW
2026.0,2002,769000,996,NSW
2027.0,2002,1485000,362,NSW
2028.0,2002,988000,203,NSW
2029.0,2002,964000,392,NSW
2030.0,2002,1416000,363,NSW
2031.0,2002,600000,1034,NSW
2032.0,2002,618000,292,NSW
2033.0,2002,563000,260,NSW
2034.0,2002,690000,597,NSW
2035.0,2002,660000,810,NSW
2036.0,2002,528000,468,NSW
2037.0,2002,864000,391,NSW
2038.0,2002,657000,314,NSW
2039.0,2002,608000,488,NSW
2040.0,2002,583000,660,NSW
2041.0,2002,732000,719,NSW
2042.0,2002,462000,731,NSW
2043.0,2002,565000,197,NSW
2044.0,2002,701000,209,NSW
2045.0,2002,738000,97,NSW
2046.0,2002,614000,683,NSW
2047.0,2002,724000,366,NSW
2048.0,2002,570000,274,NSW
2049.0,2002,572000,405,NSW
2050.0,2002,583000,380,NSW
2060.0,2002,839000,877,NSW
2061.0,2002,1006000,331,NSW
2062.0,2002,713000,260,NSW
2063.0,2002,1117000,152,NSW
2064.0,2002,573000,370,NSW
2065.0,2002,763000,1344,NSW
2066.0,2002,723000,871,NSW
2067.0,2002,759000,882,NSW
2068.0,2002,823000,470,NSW
2069.0,2002,928000,334,NSW
2070.0,2002,804000,275,NSW
2071.0,2002,1223000,248,NSW
2072.0,2002,907000,156,NSW
2073.0,2002,916000,322,NSW
2074.0,2002,811000,484,NSW
2075.0,2002,810000,456,NSW
2076.0,2002,724000,541,NSW
2077.0,2002,442000,1352,NSW
2079.0,2002,402000,154,NSW
2080.0,2002,369000,33,NSW
2081.0,2002,388000,123,NSW
2082.0,2002,402000,127,NSW
2083.0,2002,467000,80,NSW
2084.0,2002,1028000,70,NSW
2085.0,2002,609000,261,NSW
2086.0,2002,789000,268,NSW
2087.0,2002,657000,256,NSW
2088.0,2002,2473000,1101,NSW
2089.0,2002,917000,397,NSW
2090.0,2002,893000,657,NSW
2092.0,2002,1059000,159,NSW
2093.0,2002,1002000,570,NSW
2094.0,2002,695000,220,NSW
2095.0,2002,860000,637,NSW
2096.0,2002,548000,479,NSW
2097.0,2002,812000,412,NSW
2099.0,2002,538000,1218,NSW
2100.0,2002,633000,542,NSW
2101.0,2002,621000,484,NSW
2102.0,2002,673000,204,NSW
2103.0,2002,758000,323,NSW
2104.0,2002,1142000,82,NSW
2105.0,2002,844000,85,NSW
2106.0,2002,727000,403,NSW
2107.0,2002,767000,479,NSW
2108.0,2002,1369000,102,NSW
2110.0,2002,1271000,233,NSW
2111.0,2002,706000,463,NSW
2112.0,2002,564000,745,NSW
2113.0,2002,1105000,391,NSW
2114.0,2002,406000,596,NSW
2115.0,2002,563000,152,NSW
2116.0,2002,479000,155,NSW
2117.0,2002,491000,614,NSW
2118.0,2002,449000,547,NSW
2119.0,2002,751000,222,NSW
2120.0,2002,517000,558,NSW
2121.0,2002,565000,607,NSW
2122.0,2002,481000,903,NSW
2123.0,2002,390000,1,NSW
2124.0,2002,258000,1,NSW
2125.0,2002,575000,541,NSW
2126.0,2002,659000,441,NSW
2127.0,2002,483000,443,NSW
