post_code,year,average_price,volume,sector
2000.0,2023,4494000,1155,NSW
2007.0,2023,952000,242,NSW
2008.0,2023,1518000,221,NSW
2009.0,2023,1744000,358,NSW
2010.0,2023,1998000,831,NSW
2011.0,2023,2123000,754,NSW
2015.0,2023,2857000,409,NSW
2016.0,2023,1493000,295,NSW
2017.0,2023,2571000,1004,NSW
2018.0,2023,1189000,462,NSW
2019.0,2023,2838000,299,NSW
2020.0,2023,1975000,468,NSW
2021.0,2023,3471000,409,NSW
2022.0,2023,2410000,402,NSW
2023.0,2023,7014000,316,NSW
2024.0,2023,3232000,275,NSW
2025.0,2023,4027000,189,NSW
2026.0,2023,3225000,776,NSW
2027.0,2023,6664000,242,NSW
2028.0,2023,3323000,144,NSW
2029.0,2023,3504000,233,NSW
2030.0,2023,6470000,252,NSW
2031.0,2023,2272000,697,NSW
2032.0,2023,1752000,188,NSW
2033.0,2023,1348000,174,NSW
2034.0,2023,2502000,378,NSW
2035.0,2023,2077000,539,NSW
2036.0,2023,1753000,529,NSW
2037.0,2023,2272000,372,NSW
2038.0,2023,1983000,168,NSW
2039.0,2023,2099000,183,NSW
2040.0,2023,1637000,520,NSW
2041.0,2023,2696000,315,NSW
2042.0,2023,1599000,404,NSW
2043.0,2023,3568000,270,NSW
2044.0,2023,1548000,199,NSW
2045.0,2023,2719000,77,NSW
2046.0,2023,2220000,478,NSW
2047.0,2023,2038000,294,NSW
2048.0,2023,1666000,145,NSW
2049.0,2023,1495000,253,NSW
2050.0,2023,2097000,260,NSW
2059.0,2023,596000,1,NSW
2060.0,2023,3677000,461,NSW
2061.0,2023,2990000,182,NSW
2062.0,2023,1848000,176,NSW
2063.0,2023,4691000,94,NSW
2064.0,2023,4525000,179,NSW
2065.0,2023,1816000,1627,NSW
2066.0,2023,1732000,866,NSW
2067.0,2023,2242000,563,NSW
2068.0,2023,2785000,435,NSW
2069.0,2023,2441000,357,NSW
2070.0,2023,2760000,266,NSW
2071.0,2023,3081000,224,NSW
2072.0,2023,1967000,192,NSW
2073.0,2023,2719000,344,NSW
2074.0,2023,2766000,411,NSW
2075.0,2023,2465000,456,NSW
2076.0,2023,2533000,508,NSW
2077.0,2023,1049000,1019,NSW
2079.0,2023,1280000,134,NSW
2080.0,2023,2202000,40,NSW
2081.0,2023,1455000,77,NSW
2082.0,2023,1325000,68,NSW
2083.0,2023,1006000,47,NSW
2084.0,2023,3825000,43,NSW
2085.0,2023,1854000,172,NSW
2086.0,2023,2166000,217,NSW
2087.0,2023,2197000,174,NSW
2088.0,2023,3662000,693,NSW
2089.0,2023,2014000,388,NSW
2090.0,2023,2813000,372,NSW
2092.0,2023,3526000,93,NSW
2093.0,2023,2502000,423,NSW
2094.0,2023,2385000,130,NSW
2095.0,2023,2571000,404,NSW
2096.0,2023,2429000,297,NSW
2097.0,2023,2255000,238,NSW
2099.0,2023,1388000,860,NSW
2100.0,2023,2288000,349,NSW
2101.0,2023,1901000,314,NSW
2102.0,2023,1750000,174,NSW
2103.0,2023,2244000,216,NSW
2104.0,2023,4020000,51,NSW
2105.0,2023,2740000,37,NSW
2106.0,2023,2542000,200,NSW
2107.0,2023,2781000,293,NSW
2108.0,2023,4889000,51,NSW
2110.0,2023,3381000,176,NSW
2111.0,2023,1801000,368,NSW
2112.0,2023,1411000,854,NSW
2113.0,2023,4052000,1229,NSW
2114.0,2023,3119000,670,NSW
2115.0,2023,3169000,196,NSW
2116.0,2023,1374000,137,NSW
2117.0,2023,1411000,391,NSW
2118.0,2023,1388000,538,NSW
2119.0,2023,2340000,192,NSW
2120.0,2023,1605000,304,NSW
2121.0,2023,1340000,778,NSW
2122.0,2023,1659000,543,NSW
2125.0,2023,2418000,214,NSW
2126.0,2023,2068000,226,NSW
2127.0,2023,799000,855,NSW
2128.0,2023,3117000,73,NSW
2130.0,2023,1387000,126,NSW
2131.0,2023,1169000,542,NSW
2132.0,2023,1793000,130,NSW
2133.0,2023,1298000,135,NSW
2134.0,2023,1244000,513,NSW
2135.0,2023,1984000,411,NSW
2136.0,2023,1334000,159,NSW
2137.0,2023,1659000,691,NSW
2138.0,2023,1982000,479,NSW
2140.0,2023,909000,567,NSW
2141.0,2023,1063000,930,NSW
2142.0,2023,2415000,665,NSW
2143.0,2023,3234000,128,NSW
2144.0,2023,927000,740,NSW
2145.0,2023,2354000,1659,NSW
2146.0,2023,971000,323,NSW
2147.0,2023,1142000,578,NSW
2148.0,2023,1168000,1386,NSW
2150.0,2023,1329000,1513,NSW
2151.0,2023,1551000,396,NSW
2152.0,2023,1041000,193,NSW
2153.0,2023,4775000,1118,NSW
2154.0,2023,2025000,795,NSW
2155.0,2023,1253000,2509,NSW
2156.0,2023,3080000,178,NSW
2157.0,2023,2306000,57,NSW
2158.0,2023,2376000,173,NSW
2159.0,2023,2224000,67,NSW
2160.0,2023,1191000,578,NSW
2161.0,2023,955000,552,NSW
2162.0,2023,1219000,229,NSW
2163.0,2023,1152000,159,NSW
2164.0,2023,2724000,285,NSW
2165.0,2023,929000,589,NSW
2166.0,2023,1046000,655,NSW
2167.0,2023,835000,188,NSW
2168.0,2023,888000,400,NSW
2170.0,2023,1290000,2071,NSW
2171.0,2023,1190000,335,NSW
2172.0,2023,1785000,25,NSW
2173.0,2023,1056000,156,NSW
2174.0,2023,1231000,423,NSW
2175.0,2023,8564000,21,NSW
2176.0,2023,1073000,387,NSW
2177.0,2023,883000,131,NSW
2178.0,2023,23807000,36,NSW
2179.0,2023,1037000,2027,NSW
2190.0,2023,1211000,312,NSW
2191.0,2023,1330000,82,NSW
2192.0,2023,1138000,246,NSW
2193.0,2023,2465000,304,NSW
2194.0,2023,1048000,440,NSW
2195.0,2023,960000,490,NSW
2196.0,2023,1043000,406,NSW
2197.0,2023,1128000,100,NSW
2198.0,2023,1130000,150,NSW
2199.0,2023,1156000,257,NSW
2200.0,2023,1220000,779,NSW
2203.0,2023,1197000,292,NSW
2204.0,2023,1693000,443,NSW
2205.0,2023,1085000,699,NSW
2206.0,2023,1659000,231,NSW
2207.0,2023,1187000,493,NSW
2208.0,2023,1548000,208,NSW
2209.0,2023,1248000,206,NSW
2210.0,2023,1289000,478,NSW
2211.0,2023,1573000,279,NSW
2212.0,2023,1352000,293,NSW
2213.0,2023,1315000,349,NSW
2214.0,2023,1421000,90,NSW
2216.0,2023,889000,667,NSW
2217.0,2023,1064000,873,NSW
2218.0,2023,1110000,216,NSW
2219.0,2023,1538000,292,NSW
2220.0,2023,1029000,728,NSW
2221.0,2023,2138000,257,NSW
2222.0,2023,955000,205,NSW
2223.0,2023,1387000,363,NSW
2224.0,2023,2034000,249,NSW
2225.0,2023,1881000,91,NSW
2226.0,2023,1450000,182,NSW
2227.0,2023,1454000,271,NSW
2228.0,2023,1401000,469,NSW
2229.0,2023,1915000,772,NSW
2230.0,2023,2150000,770,NSW
2231.0,2023,1779000,39,NSW
2232.0,2023,1164000,772,NSW
2233.0,2023,1215000,457,NSW
2234.0,2023,1508000,344,NSW
2250.0,2023,993000,1586,NSW
2251.0,2023,1600000,540,NSW
2256.0,2023,1466000,363,NSW
2257.0,2023,1230000,668,NSW
2258.0,2023,1007000,108,NSW
2259.0,2023,905000,1718,NSW
2260.0,2023,1641000,508,NSW
2261.0,2023,1357000,1288,NSW
2262.0,2023,719000,386,NSW
2263.0,2023,777000,516,NSW
2264.0,2023,862000,426,NSW
2265.0,2023,606000,388,NSW
2267.0,2023,987000,56,NSW
2278.0,2023,985000,26,NSW
2280.0,2023,931000,481,NSW
2281.0,2023,926000,343,NSW
2282.0,2023,992000,303,NSW
2283.0,2023,870000,436,NSW
2284.0,2023,825000,408,NSW
2285.0,2023,819000,789,NSW
2286.0,2023,929000,76,NSW
2287.0,2023,964000,841,NSW
2289.0,2023,1002000,389,NSW
2290.0,2023,949000,678,NSW
2291.0,2023,1924000,278,NSW
2292.0,2023,1334000,83,NSW
2293.0,2023,1253000,105,NSW
2294.0,2023,995000,67,NSW
2295.0,2023,1153000,150,NSW
2296.0,2023,942000,58,NSW
2297.0,2023,1201000,34,NSW
2298.0,2023,802000,180,NSW
2299.0,2023,830000,244,NSW
2300.0,2023,1397000,437,NSW
2302.0,2023,1443000,68,NSW
2303.0,2023,1775000,148,NSW
2304.0,2023,879000,403,NSW
2305.0,2023,993000,236,NSW
2306.0,2023,529000,25,NSW
2307.0,2023,629000,111,NSW
2311.0,2023,539000,46,NSW
2312.0,2023,678000,32,NSW
2315.0,2023,997000,416,NSW
2316.0,2023,1266000,132,NSW
2317.0,2023,1151000,174,NSW
2318.0,2023,891000,278,NSW
2319.0,2023,752000,168,NSW
2320.0,2023,976000,1097,NSW
2321.0,2023,758000,865,NSW
2322.0,2023,787000,801,NSW
2323.0,2023,715000,541,NSW
2324.0,2023,793000,684,NSW
2325.0,2023,599000,843,NSW
2326.0,2023,929000,143,NSW
2327.0,2023,555000,158,NSW
2328.0,2023,513000,65,NSW
2329.0,2023,467000,63,NSW
2330.0,2023,799000,496,NSW
