post_code,year,average_price,volume,sector
2000.0,2018,6820000,1695,NSW
2007.0,2018,779000,158,NSW
2008.0,2018,1439000,506,NSW
2009.0,2018,3784000,335,NSW
2010.0,2018,1625000,850,NSW
2011.0,2018,1497000,772,NSW
2015.0,2018,2476000,400,NSW
2016.0,2018,1445000,214,NSW
2017.0,2018,1093000,1792,NSW
2018.0,2018,1130000,966,NSW
2019.0,2018,1167000,676,NSW
2020.0,2018,1232000,1304,NSW
2021.0,2018,2477000,390,NSW
2022.0,2018,1808000,444,NSW
2023.0,2018,3839000,278,NSW
2024.0,2018,2374000,210,NSW
2025.0,2018,2561000,207,NSW
2026.0,2018,2067000,751,NSW
2027.0,2018,4360000,245,NSW
2028.0,2018,3424000,132,NSW
2029.0,2018,2869000,217,NSW
2030.0,2018,6091000,320,NSW
2031.0,2018,1858000,644,NSW
2032.0,2018,1531000,155,NSW
2033.0,2018,2133000,189,NSW
2034.0,2018,1683000,372,NSW
2035.0,2018,1829000,511,NSW
2036.0,2018,5620000,959,NSW
2037.0,2018,1373000,522,NSW
2038.0,2018,1617000,175,NSW
2039.0,2018,3796000,243,NSW
2040.0,2018,1190000,745,NSW
2041.0,2018,1858000,489,NSW
2042.0,2018,1598000,367,NSW
2043.0,2018,1176000,637,NSW
2044.0,2018,1330000,144,NSW
2045.0,2018,2390000,86,NSW
2046.0,2018,1668000,462,NSW
2047.0,2018,1467000,430,NSW
2048.0,2018,1385000,140,NSW
2049.0,2018,1028000,463,NSW
2050.0,2018,1310000,190,NSW
2060.0,2018,2747000,662,NSW
2061.0,2018,2180000,281,NSW
2062.0,2018,1777000,143,NSW
2063.0,2018,3252000,98,NSW
2064.0,2018,3388000,134,NSW
2065.0,2018,2238000,1019,NSW
2066.0,2018,1646000,852,NSW
2067.0,2018,1726000,662,NSW
2068.0,2018,3363000,295,NSW
2069.0,2018,2060000,272,NSW
2070.0,2018,2573000,456,NSW
2071.0,2018,2748000,192,NSW
2072.0,2018,1302000,337,NSW
2073.0,2018,1547000,564,NSW
2074.0,2018,1811000,493,NSW
2075.0,2018,1888000,319,NSW
2076.0,2018,1825000,357,NSW
2077.0,2018,865000,1083,NSW
2079.0,2018,779000,274,NSW
2080.0,2018,1005000,38,NSW
2081.0,2018,1098000,59,NSW
2082.0,2018,928000,87,NSW
2083.0,2018,691000,61,NSW
2084.0,2018,2092000,95,NSW
2085.0,2018,1512000,206,NSW
2086.0,2018,1881000,170,NSW
2087.0,2018,1519000,141,NSW
2088.0,2018,2862000,654,NSW
2089.0,2018,1499000,403,NSW
2090.0,2018,2071000,316,NSW
2092.0,2018,2626000,118,NSW
2093.0,2018,1760000,531,NSW
2094.0,2018,1752000,132,NSW
2095.0,2018,2048000,379,NSW
2096.0,2018,1707000,374,NSW
2097.0,2018,1545000,293,NSW
2099.0,2018,1261000,969,NSW
2100.0,2018,1315000,455,NSW
2101.0,2018,1397000,310,NSW
2102.0,2018,1316000,244,NSW
2103.0,2018,1465000,217,NSW
2104.0,2018,2532000,60,NSW
2105.0,2018,1812000,49,NSW
2106.0,2018,1491000,231,NSW
2107.0,2018,1909000,325,NSW
2108.0,2018,3269000,73,NSW
2110.0,2018,2906000,171,NSW
2111.0,2018,5475000,393,NSW
2112.0,2018,949000,1558,NSW
2113.0,2018,1018000,1682,NSW
2114.0,2018,1184000,386,NSW
2115.0,2018,1364000,168,NSW
2116.0,2018,1087000,111,NSW
2117.0,2018,1091000,327,NSW
2118.0,2018,1304000,724,NSW
2119.0,2018,1655000,177,NSW
2120.0,2018,1250000,340,NSW
2121.0,2018,1007000,1485,NSW
2122.0,2018,1182000,595,NSW
2125.0,2018,1691000,186,NSW
2126.0,2018,1379000,189,NSW
2127.0,2018,829000,1550,NSW
2128.0,2018,6983000,59,NSW
2130.0,2018,1297000,153,NSW
2131.0,2018,1012000,581,NSW
2132.0,2018,1431000,135,NSW
2133.0,2018,1116000,102,NSW
2134.0,2018,1261000,423,NSW
2135.0,2018,1961000,348,NSW
2136.0,2018,1241000,144,NSW
2137.0,2018,1966000,500,NSW
2138.0,2018,1552000,345,NSW
2140.0,2018,710000,821,NSW
2141.0,2018,1342000,600,NSW
2142.0,2018,1152000,324,NSW
2143.0,2018,3076000,123,NSW
2144.0,2018,826000,589,NSW
2145.0,2018,3073000,1686,NSW
2146.0,2018,688000,433,NSW
2147.0,2018,838000,585,NSW
2148.0,2018,5269000,1348,NSW
2150.0,2018,1109000,2540,NSW
2151.0,2018,897000,262,NSW
2152.0,2018,1462000,190,NSW
2153.0,2018,1657000,865,NSW
2154.0,2018,1243000,867,NSW
2155.0,2018,976000,2317,NSW
2156.0,2018,2086000,170,NSW
2157.0,2018,1587000,56,NSW
2158.0,2018,2021000,166,NSW
2159.0,2018,1652000,50,NSW
2160.0,2018,1275000,600,NSW
2161.0,2018,1079000,445,NSW
2162.0,2018,1204000,245,NSW
2163.0,2018,1689000,102,NSW
2164.0,2018,2202000,361,NSW
2165.0,2018,852000,521,NSW
2166.0,2018,801000,529,NSW
2167.0,2018,692000,182,NSW
2168.0,2018,667000,401,NSW
2170.0,2018,848000,2213,NSW
2171.0,2018,1168000,480,NSW
2172.0,2018,1206000,25,NSW
2173.0,2018,862000,150,NSW
2174.0,2018,827000,445,NSW
2175.0,2018,2192000,13,NSW
2176.0,2018,822000,343,NSW
2177.0,2018,637000,139,NSW
2178.0,2018,13965000,37,NSW
2179.0,2018,846000,1493,NSW
2190.0,2018,1096000,249,NSW
2191.0,2018,1324000,78,NSW
2192.0,2018,829000,243,NSW
2193.0,2018,903000,450,NSW
2194.0,2018,848000,323,NSW
2195.0,2018,615000,416,NSW
2196.0,2018,870000,458,NSW
2197.0,2018,965000,101,NSW
2198.0,2018,867000,141,NSW
2199.0,2018,805000,242,NSW
2200.0,2018,814000,823,NSW
2203.0,2018,1008000,448,NSW
2204.0,2018,1308000,503,NSW
2205.0,2018,835000,1419,NSW
2206.0,2018,1402000,205,NSW
2207.0,2018,1029000,362,NSW
2208.0,2018,2756000,145,NSW
2209.0,2018,1029000,227,NSW
2210.0,2018,1037000,798,NSW
2211.0,2018,1019000,260,NSW
2212.0,2018,1291000,293,NSW
2213.0,2018,1046000,339,NSW
2214.0,2018,1841000,83,NSW
2216.0,2018,971000,477,NSW
2217.0,2018,1178000,465,NSW
2218.0,2018,1044000,195,NSW
2219.0,2018,1186000,285,NSW
2220.0,2018,2314000,836,NSW
2221.0,2018,1619000,208,NSW
2222.0,2018,927000,206,NSW
2223.0,2018,1205000,335,NSW
2224.0,2018,1455000,220,NSW
2225.0,2018,1490000,104,NSW
2226.0,2018,1089000,209,NSW
2227.0,2018,1119000,314,NSW
2228.0,2018,1133000,481,NSW
2229.0,2018,1704000,926,NSW
2230.0,2018,1815000,1038,NSW
2231.0,2018,1222000,45,NSW
2232.0,2018,1032000,869,NSW
2233.0,2018,910000,511,NSW
2234.0,2018,1106000,424,NSW
2250.0,2018,819000,1663,NSW
2251.0,2018,973000,684,NSW
2256.0,2018,805000,363,NSW
2257.0,2018,841000,727,NSW
2258.0,2018,795000,112,NSW
2259.0,2018,635000,1821,NSW
2260.0,2018,980000,670,NSW
2261.0,2018,700000,1321,NSW
2262.0,2018,510000,492,NSW
2263.0,2018,573000,648,NSW
2264.0,2018,727000,443,NSW
2265.0,2018,473000,237,NSW
2267.0,2018,640000,60,NSW
2278.0,2018,491000,60,NSW
2280.0,2018,734000,566,NSW
2281.0,2018,718000,450,NSW
2282.0,2018,677000,472,NSW
2283.0,2018,577000,567,NSW
2284.0,2018,483000,435,NSW
2285.0,2018,558000,928,NSW
2286.0,2018,569000,107,NSW
2287.0,2018,620000,1020,NSW
2289.0,2018,699000,418,NSW
2290.0,2018,667000,772,NSW
2291.0,2018,1119000,357,NSW
2292.0,2018,789000,108,NSW
2293.0,2018,654000,363,NSW
2294.0,2018,741000,45,NSW
2295.0,2018,717000,141,NSW
2296.0,2018,630000,99,NSW
2297.0,2018,734000,50,NSW
2298.0,2018,581000,208,NSW
2299.0,2018,673000,249,NSW
2300.0,2018,1241000,396,NSW
2302.0,2018,929000,118,NSW
2303.0,2018,876000,250,NSW
2304.0,2018,682000,422,NSW
2305.0,2018,752000,273,NSW
2306.0,2018,356000,34,NSW
2307.0,2018,451000,144,NSW
2308.0,2018,885000,1,NSW
2311.0,2018,454000,38,NSW
2312.0,2018,569000,61,NSW
2315.0,2018,711000,668,NSW
2316.0,2018,595000,164,NSW
2317.0,2018,1667000,187,NSW
2318.0,2018,616000,388,NSW
2319.0,2018,443000,201,NSW
2320.0,2018,514000,1382,NSW
2321.0,2018,418000,772,NSW
2322.0,2018,537000,1000,NSW
2323.0,2018,498000,581,NSW
2324.0,2018,532000,928,NSW
2325.0,2018,436000,970,NSW
2326.0,2018,389000,148,NSW
2327.0,2018,364000,206,NSW
2328.0,2018,459000,64,NSW
2329.0,2018,238000,137,NSW
2330.0,2018,595000,698,NSW
2333.0,2018,367000,408,NSW
2334.0,2018,349000,142,NSW
2335.0,2018,518000,351,NSW
2336.0,2018,429000,49,NSW
2337.0,2018,423000,244,NSW
2338.0,2018,645000,53,NSW
2339.0,2018,559000,28,NSW
2340.0,2018,406000,1512,NSW
2341.0,2018,251000,34,NSW
2342.0,2018,400000,15,NSW
2343.0,2018,538000,152,NSW
2344.0,2018,533000,24,NSW
2345.0,2018,380000,26,NSW
2346.0,2018,359000,102,NSW
2347.0,2018,965000,66,NSW
2350.0,2018,504000,739,NSW
2352.0,2018,1341000,94,NSW
2353.0,2018,358000,25,NSW
2354.0,2018,999000,151,NSW
2355.0,2018,299000,28,NSW
2356.0,2018,265000,14,NSW
2357.0,2018,428000,118,NSW
2358.0,2018,1066000,125,NSW
2359.0,2018,310000,36,NSW
2360.0,2018,438000,404,NSW
2361.0,2018,307000,24,NSW
2365.0,2018,1009000,110,NSW
2369.0,2018,294000,24,NSW
2370.0,2018,395000,256,NSW
2371.0,2018,302000,76,NSW
2372.0,2018,302000,231,NSW
