post_code,year,average_price,volume,sector
2000.0,2013,3187000,1453,NSW
2007.0,2013,628000,316,NSW
2008.0,2013,801000,754,NSW
2009.0,2013,1089000,431,NSW
2010.0,2013,1104000,1121,NSW
2011.0,2013,1210000,907,NSW
2015.0,2013,1533000,464,NSW
2016.0,2013,1447000,253,NSW
2017.0,2013,757000,1350,NSW
2018.0,2013,782000,370,NSW
2019.0,2013,1014000,255,NSW
2020.0,2013,1161000,466,NSW
2021.0,2013,1298000,502,NSW
2022.0,2013,1067000,425,NSW
2023.0,2013,1997000,316,NSW
2024.0,2013,1392000,292,NSW
2025.0,2013,1880000,244,NSW
2026.0,2013,1399000,954,NSW
2027.0,2013,2359000,288,NSW
2028.0,2013,2031000,182,NSW
2029.0,2013,1412000,235,NSW
2030.0,2013,2288000,399,NSW
2031.0,2013,1053000,848,NSW
2032.0,2013,882000,218,NSW
2033.0,2013,939000,406,NSW
2034.0,2013,1169000,425,NSW
2035.0,2013,1135000,659,NSW
2036.0,2013,889000,612,NSW
2037.0,2013,952000,284,NSW
2038.0,2013,1016000,186,NSW
2039.0,2013,985000,264,NSW
2040.0,2013,1091000,515,NSW
2041.0,2013,1367000,408,NSW
2042.0,2013,918000,429,NSW
2043.0,2013,688000,240,NSW
2044.0,2013,733000,242,NSW
2045.0,2013,1306000,90,NSW
2046.0,2013,920000,660,NSW
2047.0,2013,1033000,335,NSW
2048.0,2013,888000,162,NSW
2049.0,2013,852000,211,NSW
2050.0,2013,783000,493,NSW
2060.0,2013,1648000,558,NSW
2061.0,2013,1488000,222,NSW
2062.0,2013,1184000,229,NSW
2063.0,2013,1945000,142,NSW
2064.0,2013,1073000,232,NSW
2065.0,2013,1053000,1090,NSW
2066.0,2013,1000000,940,NSW
2067.0,2013,1279000,607,NSW
2068.0,2013,1412000,399,NSW
2069.0,2013,1226000,369,NSW
2070.0,2013,1754000,294,NSW
2071.0,2013,1185000,446,NSW
2072.0,2013,1141000,283,NSW
2073.0,2013,1332000,390,NSW
2074.0,2013,1071000,590,NSW
2075.0,2013,947000,688,NSW
2076.0,2013,1089000,573,NSW
2077.0,2013,629000,883,NSW
2079.0,2013,657000,94,NSW
2080.0,2013,706000,30,NSW
2081.0,2013,657000,82,NSW
2082.0,2013,650000,85,NSW
2083.0,2013,631000,45,NSW
2084.0,2013,1545000,64,NSW
2085.0,2013,859000,282,NSW
2086.0,2013,1136000,251,NSW
2087.0,2013,959000,215,NSW
2088.0,2013,1603000,901,NSW
2089.0,2013,964000,436,NSW
2090.0,2013,1098000,405,NSW
2092.0,2013,1743000,175,NSW
2093.0,2013,1031000,601,NSW
2094.0,2013,1057000,166,NSW
2095.0,2013,1108000,561,NSW
2096.0,2013,857000,464,NSW
2097.0,2013,988000,322,NSW
2099.0,2013,673000,1056,NSW
2100.0,2013,822000,548,NSW
2101.0,2013,902000,468,NSW
2102.0,2013,1005000,285,NSW
2103.0,2013,969000,304,NSW
2104.0,2013,1426000,63,NSW
2105.0,2013,1337000,40,NSW
2106.0,2013,956000,249,NSW
2107.0,2013,1111000,403,NSW
2108.0,2013,2334000,89,NSW
2110.0,2013,1751000,248,NSW
2111.0,2013,973000,376,NSW
2112.0,2013,963000,833,NSW
2113.0,2013,3961000,351,NSW
2114.0,2013,702000,573,NSW
2115.0,2013,783000,189,NSW
2116.0,2013,937000,134,NSW
2117.0,2013,694000,477,NSW
2118.0,2013,747000,609,NSW
2119.0,2013,1024000,284,NSW
