post_code,year,average_price,volume,sector
2000.0,2020,3781000,957,NSW
2007.0,2020,1007000,162,NSW
2008.0,2020,2800000,160,NSW
2009.0,2020,2321000,307,NSW
2010.0,2020,1750000,816,NSW
2011.0,2020,1815000,689,NSW
2015.0,2020,2220000,466,NSW
2016.0,2020,1494000,232,NSW
2017.0,2020,1266000,820,NSW
2018.0,2020,2007000,474,NSW
2019.0,2020,1002000,407,NSW
2020.0,2020,1327000,399,NSW
2021.0,2020,2268000,387,NSW
2022.0,2020,1697000,323,NSW
2023.0,2020,3446000,254,NSW
2024.0,2020,2449000,243,NSW
2025.0,2020,5808000,203,NSW
2026.0,2020,2221000,786,NSW
2027.0,2020,4348000,236,NSW
2028.0,2020,3033000,166,NSW
2029.0,2020,2693000,268,NSW
2030.0,2020,3994000,308,NSW
2031.0,2020,2092000,855,NSW
2032.0,2020,5082000,157,NSW
2033.0,2020,4009000,216,NSW
2034.0,2020,1943000,350,NSW
2035.0,2020,2619000,465,NSW
2036.0,2020,2212000,701,NSW
2037.0,2020,1618000,284,NSW
2038.0,2020,1653000,179,NSW
2039.0,2020,7137000,198,NSW
2040.0,2020,1858000,476,NSW
2041.0,2020,2065000,356,NSW
2042.0,2020,1344000,344,NSW
2043.0,2020,1059000,534,NSW
2044.0,2020,6956000,207,NSW
2045.0,2020,2169000,85,NSW
2046.0,2020,1469000,445,NSW
2047.0,2020,1665000,259,NSW
2048.0,2020,1440000,134,NSW
2049.0,2020,1757000,238,NSW
2050.0,2020,1109000,209,NSW
2060.0,2020,4320000,463,NSW
2061.0,2020,2488000,186,NSW
2062.0,2020,1678000,162,NSW
2063.0,2020,3360000,81,NSW
2064.0,2020,1915000,132,NSW
2065.0,2020,2253000,1014,NSW
2066.0,2020,3423000,745,NSW
2067.0,2020,2032000,468,NSW
2068.0,2020,7504000,264,NSW
2069.0,2020,3453000,232,NSW
2070.0,2020,2313000,268,NSW
2071.0,2020,2183000,257,NSW
2072.0,2020,1325000,239,NSW
2073.0,2020,4020000,291,NSW
2074.0,2020,2048000,442,NSW
2075.0,2020,1794000,450,NSW
2076.0,2020,1838000,418,NSW
