post_code,year,average_price,volume,sector
2000.0,2015,4513000,1564,NSW
2007.0,2015,801000,338,NSW
2008.0,2015,1040000,355,NSW
2009.0,2015,4991000,514,NSW
2010.0,2015,1299000,1398,NSW
2011.0,2015,1648000,987,NSW
2015.0,2015,1422000,640,NSW
2016.0,2015,2132000,405,NSW
2017.0,2015,1326000,1751,NSW
2018.0,2015,1445000,874,NSW
2019.0,2015,912000,706,NSW
2020.0,2015,1641000,538,NSW
2021.0,2015,1809000,506,NSW
2022.0,2015,1876000,414,NSW
2023.0,2015,2511000,334,NSW
2024.0,2015,2000000,283,NSW
2025.0,2015,2192000,288,NSW
2026.0,2015,1459000,855,NSW
2027.0,2015,3087000,307,NSW
2028.0,2015,3592000,245,NSW
2029.0,2015,2068000,292,NSW
2030.0,2015,2986000,429,NSW
2031.0,2015,1639000,945,NSW
2032.0,2015,1441000,226,NSW
2033.0,2015,4569000,265,NSW
2034.0,2015,1460000,476,NSW
2035.0,2015,2232000,672,NSW
2036.0,2015,1396000,490,NSW
2037.0,2015,1413000,433,NSW
2038.0,2015,1265000,250,NSW
2039.0,2015,1187000,446,NSW
2040.0,2015,1244000,534,NSW
2041.0,2015,2035000,436,NSW
2042.0,2015,1180000,402,NSW
2043.0,2015,1273000,619,NSW
2044.0,2015,1215000,262,NSW
2045.0,2015,1781000,114,NSW
2046.0,2015,1340000,657,NSW
2047.0,2015,6549000,350,NSW
2048.0,2015,1185000,175,NSW
2049.0,2015,1447000,317,NSW
2050.0,2015,1081000,282,NSW
2060.0,2015,2609000,677,NSW
2061.0,2015,2012000,318,NSW
2062.0,2015,1399000,193,NSW
2063.0,2015,2198000,149,NSW
2064.0,2015,1928000,239,NSW
2065.0,2015,4191000,1170,NSW
2066.0,2015,1185000,1324,NSW
2067.0,2015,908000,6094,NSW
2068.0,2015,2067000,387,NSW
2069.0,2015,1834000,314,NSW
2070.0,2015,1649000,404,NSW
2071.0,2015,1864000,341,NSW
2072.0,2015,1964000,210,NSW
2073.0,2015,1894000,446,NSW
2074.0,2015,1578000,568,NSW
2075.0,2015,1433000,661,NSW
2076.0,2015,1311000,594,NSW
2077.0,2015,960000,1033,NSW
2079.0,2015,913000,130,NSW
2080.0,2015,2820000,47,NSW
2081.0,2015,823000,92,NSW
2082.0,2015,841000,96,NSW
2083.0,2015,602000,65,NSW
2084.0,2015,2053000,60,NSW
2085.0,2015,1920000,335,NSW
2086.0,2015,2295000,317,NSW
2087.0,2015,1419000,191,NSW
2088.0,2015,2294000,1066,NSW
2089.0,2015,1972000,406,NSW
2090.0,2015,1412000,456,NSW
2092.0,2015,2321000,138,NSW
2093.0,2015,1440000,589,NSW
2094.0,2015,1366000,168,NSW
2095.0,2015,1608000,541,NSW
2096.0,2015,1221000,391,NSW
2097.0,2015,1144000,329,NSW
2099.0,2015,1234000,977,NSW
2100.0,2015,1025000,591,NSW
2101.0,2015,1229000,450,NSW
2102.0,2015,976000,362,NSW
2103.0,2015,1211000,327,NSW
2104.0,2015,2070000,87,NSW
2105.0,2015,1336000,65,NSW
2106.0,2015,1476000,270,NSW
2107.0,2015,1437000,458,NSW
