postcode,lat,long
1465,-33.89,151.14
1466,-33.91,151.23
1470,-33.84,151.15
1475,-33.91,151.15
1476,-33.91,151.15
1480,-33.94,151.1
1481,0.0,0.0
1484,0.0,0.0
1485,0.0,0.0
1487,0.0,0.0
1490,-34.04,151.11
1493,-33.98,151.09
1495,-34.05,151.12
1499,-34.02,151.06
1515,-33.82,151.21
1560,0.0,0.0
1565,-33.87,151.19
1570,-33.81,151.19
1582,-33.83,151.2
1585,-33.83,151.2
1590,-33.29,151.47
1595,-33.79,151.19
1597,-33.79,151.19
1602,0.0,0.0
1608,0.0,0.0
1610,0.0,0.0
1611,0.0,0.0
1630,-33.71,151.1
1635,0.0,0.0
1639,-33.79,151.25
1640,-33.79,151.25
1655,-33.33,151.51
1658,-33.7,151.22
1660,-33.7,151.22
1670,0.0,0.0
1675,-33.83,151.14
1680,-33.76,151.14
1685,-33.8,151.09
1690,0.0,0.0
1691,0.0,0.0
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,-33.95,151.21
1701,0.0,0.0
1710,-33.78,151.12
1712,-33.78,151.12
1715,-33.76,151.05
1730,-33.76,150.97
1740,-33.89,151.14
1741,-33.89,151.14
1750,-33.86,151.02
1755,-33.77,150.97
1765,-33.74,151.03
1771,-33.76,151.05
1781,0.0,0.0
1790,-33.86,151.2
1797,0.0,0.0
1800,-34.1,150.78
1805,-33.89,151.1
1811,-33.82,151.05
1816,-33.88,151.09
1819,-33.88,151.09
1825,0.0,0.0
1826,0.0,0.0
1830,-33.86,150.95
1831,-33.86,150.95
1835,-33.88,151.02
1848,-33.85,150.97
1851,0.0,0.0
1860,-33.85,150.96
1871,-33.89,151.1
1875,-33.95,150.92
1885,-33.91,151.02
1888,-33.91,151.02
1890,-33.96,150.8
1891,-33.93,151.0
1900,0.0,0.0
1902,0.0,0.0
200,-35.28,149.12
2000,-33.86,151.21
2001,-33.79,151.27
2002,-35.97,146.41
2004,0.0,0.0
2006,-33.89,151.19
2007,-33.88,151.2
2008,-33.89,151.2
2009,-33.87,151.19
2010,-33.88,151.22
2011,-33.87,151.23
2012,-33.73,150.93
2013,-33.73,150.93
2015,-33.9,151.2
2016,-33.89,151.2
2017,-33.9,151.21
2018,-33.93,151.21
2019,-33.96,151.21
2020,-33.93,151.19
2021,-33.89,151.22
2022,-33.89,151.25
2023,-33.89,151.26
2024,-33.9,151.26
2025,-33.89,151.24
2026,-33.89,151.26
2027,-33.87,151.24
2028,-33.88,151.24
2029,-33.87,151.28
2030,-33.87,151.28
2031,-33.91,151.26
2032,-33.93,151.23
2033,-33.91,151.22
2034,-33.92,151.25
2035,-33.95,151.24
2036,-33.98,151.24
2037,-33.88,151.18
2038,-33.88,151.17
2039,-33.86,151.17
2040,-33.88,151.16
2041,-33.86,151.18
2042,-33.9,151.17
2043,-33.9,151.19
2044,-33.91,151.18
2045,-33.88,151.14
2046,-33.85,151.13
2047,-33.85,151.15
2048,-33.9,151.17
2049,-33.89,151.14
2050,-33.89,151.18
2052,-33.91,151.23
2055,-33.8,151.1
2057,-33.79,151.19
2058,0.0,0.0
2059,-33.8,151.1
2060,-33.84,151.19
2061,-33.85,151.21
2062,-33.82,151.21
2063,-33.82,151.22
2064,-33.81,151.19
2065,-33.83,151.2
2066,-33.81,151.17
2067,-33.8,151.19
2068,-33.8,151.21
2069,-33.78,151.2
2070,-33.77,151.19
2071,-33.75,151.17
2072,-33.76,151.16
2073,-33.74,151.14
2074,-33.71,151.15
2075,-33.73,151.16
2076,-33.72,151.1
2077,-33.69,151.11
2079,-33.66,151.12
2080,-33.63,151.23
2081,-33.62,151.15
2082,-33.61,151.14
2083,-33.51,151.16
2084,-33.62,151.2
2085,-33.74,151.21
2086,-33.75,151.23
2087,-33.76,151.21
2088,-33.83,151.24
2089,-33.83,151.22
2090,-33.83,151.23
