,district_code,source,valuation_num,property_id,unit_number,house_number,street_name,suburb_name,postcode,contract_date,purchase_price,land_description,area,area_type,dimensions,comp_code,zone_code,vendor_name,purchaser_name
13621,206,VALNET1,0633300000000,1948695,,10,DON ST,NEWTOWN,2042,,400000,LOT 3 DP 444048.,139.1,M,,,A,,
13622,211,ARCHIVE,617800000000,,,546 - 552,KING ST,NEWTOWN,2042,,180000,"LOT 1 DP 109566, LOTS 1-73 SP 52555.",,,,MQ,M,,
13623,211,ARCHIVE,426335740000,,,20,FITZGERALD ST,NEWTOWN,2042,,254000,"LOT 1 DP 1017921 EASEMENT(S), LOTS 1-64 SP 63957.",3156.0,M,,,,,
13624,211,VALNET1,0426335740000,2783650,,20,FITZGERALD ST,NEWTOWN,2042,,220000,"LOT 1 DP 1017921 EASEMENT(S), LOTS 1-64 SP 63957.",3156.0,M,,,,,
13625,211,ARCHIVE,426335740000,,,20,FITZGERALD ST,NEWTOWN,2042,,360000,"LOT 1 DP 1017921 EASEMENT(S), LOTS 1-64 SP 63957.",3156.0,M,,,,,
13626,211,VALNET1,0426335740000,2783650,,20,FITZGERALD ST,NEWTOWN,2042,,22400,"LOT 1 DP 1017921 EASEMENT(S), LOTS 1-64 SP 63957.",3156.0,M,,,,,
13627,211,ARCHIVE,426335740000,,,20,FITZGERALD ST,NEWTOWN,2042,,417000,"LOT 1 DP 1017921 EASEMENT(S), LOTS 1-64 SP 63957.",3156.0,M,,,,,
13628,211,ARCHIVE,427200000000,,,19A,FITZROY ST,NEWTOWN,2042,,620000,LOT 11 DP 591882.,182.1,M,,BP,A,,
13629,093,ARCHIVE,1830600000000,998931,,3,YACHTVIEW AV,NEWPORT,2106,,825000,LOT 7 DP 16260.,942.2,M,,HN,A,,
13630,008,VALNET1,3902600000000,251300,,21,RYDAL ST,NEW LAMBTON,2305,,212500,LOT 152 DP 20342.,,,,,A,,
13631,206,ARCHIVE,1241810000000,1956272,,140,LENNOX ST,NEWTOWN,2042,,150000,"LOT 1 DP 512080, LOTS 1-18 SP 39764.",632.3,M,,ED,A,,
13632,008,VALNET1,2193500000000,229903,,522/526,HUNTER STREET,NEWCASTLE,2300,,154500,"LOT 1 DP 868174, LOTS 1-24 SP 54886.",376.4,M,,,B,,
13633,206,VALNET1,0091700000000,1942239,,119,ALICE ST,NEWTOWN,2042,,250000,LOT 2 DP 561893.,128.4,M,,,A,,
13634,135,ARCHIVE,950201000000,,,1,NEWINGTON DRIVE,NEWINGTON,2127,,500000,LOT 47 DP 270207.,337.2,M,,HF,A,,
13635,135,VALNET1,0950277000000,1320837,,12,NEWINGTON DRIVE,NEWINGTON,2127,,490000,LOT 276 DP 270207 EASEMENT(S).,312.4,M,,,A,,
13636,093,ARCHIVE,722700000000,,,31,HILLSIDE RD,NEWPORT,2106,,638500,LOT 1 DP 229781.IRR 16.05/15.24X47.65/52.4,758.8,M,,KB,A,,
13637,093,VALNET1,0728700000000,985456,,11,HILLSLOPE RD,NEWPORT,2106,,500000,LOT 3 DP 238659.,853.7,M,,,A,,
13638,093,ARCHIVE,807100000000,,,28,IRRUBEL RD,NEWPORT,2106,,692500,LOT 16 DP 8184.,,,,HQ,A,,
13639,008,VALNET1,3913300000000,251448,,70,ST JAMES RD,NEW LAMBTON,2305,,135000,LOT 5 DP 9026.,,,,,A,,
13640,211,ARCHIVE,633400000000,,,74 - 78,KING ST,NEWTOWN,2042,,179000,"LOT 1 DP 803180, LOTS 1-121 SP 44724.",2186.0,M,,EV,B,,
13641,211,ARCHIVE,633400000000,,,74 - 78,KING ST,NEWTOWN,2042,,172500,"LOT 1 DP 803180, LOTS 1-121 SP 44724.",2186.0,M,,EV,B,,
13642,211,ARCHIVE,633400000000,,,74 - 78,KING ST,NEWTOWN,2042,,143000,"LOT 1 DP 803180, LOTS 1-121 SP 44724.",2186.0,M,,EV,B,,
13643,211,ARCHIVE,994200000000,,,1,ST JOHN ST,NEWTOWN,2042,,465000,LOT 15 DP 91.,,,,BQ,A,,
