post_code,area,contract_date,settlement_date,purchase_price,nature_of_property,primary_purpose,year
2164,556.4,04/02/2012,05/03/2012,365000,R,RESIDENCE,2012
2165,,04/03/2012,05/08/2012,240000,R,RESIDENCE,2012
2176,3155.0,01/01/2012,01/01/2012,459000,3,SHOPS,2012
2137,,04/11/2012,05/11/2012,515000,R,RESIDENCE,2012
2138,,06/06/2012,05/07/2012,675000,R,RESIDENCE,2012
2138,,11/05/2012,05/12/2012,598800,R,RESIDENCE,2012
2138,,11/11/2012,05/11/2012,490000,R,RESIDENCE,2012
2138,,09/03/2012,05/11/2012,780000,R,RESIDENCE,2012
2137,355.8,03/06/2012,05/04/2012,720000,R,RESIDENCE,2012
2138,,08/02/2012,05/03/2012,600000,R,RESIDENCE,2012
2138,,09/07/2012,05/02/2012,599000,R,RESIDENCE,2012
2138,,03/01/2012,05/04/2012,600000,R,RESIDENCE,2012
2138,,08/05/2012,05/07/2012,420000,R,RESIDENCE,2012
2138,,08/02/2012,05/07/2012,600000,R,RESIDENCE,2012
2138,,05/12/2012,05/04/2012,465000,R,RESIDENCE,2012
2010,,04/05/2012,05/10/2012,429000,R,RESIDENCE,2012
2000,,04/10/2012,05/08/2012,638000,R,RESIDENCE,2012
2043,120.2,03/10/2012,05/09/2012,715000,R,RESIDENCE,2012
2011,,03/09/2012,05/04/2012,450000,R,RESIDENCE,2012
2016,,04/02/2012,05/07/2012,415000,R,RESIDENCE,2012
2011,,12/07/2012,03/02/2012,300000,3,SHOP,2012
2015,,04/10/2012,05/11/2012,570000,R,RESIDENCE,2012
2011,,04/12/2012,05/04/2012,230000,R,RESIDENCE,2012
2017,,04/04/2012,05/11/2012,500000,R,RESIDENCE,2012
2010,,04/11/2012,05/09/2012,475000,R,RESIDENCE,2012
2011,,04/02/2012,05/08/2012,330000,R,RESIDENCE,2012
2010,,04/05/2012,04/05/2012,150000,R,RESIDENCE,2012
2011,,04/06/2012,05/04/2012,2100000,R,RESIDENCE,2012
2015,,05/08/2012,05/08/2012,640000,R,RESIDENCE,2012
2360,688.4,03/09/2012,05/04/2012,330000,3,FARM,2012
2360,942.2,04/05/2012,05/04/2012,199000,R,RESIDENCE,2012
2026,,02/11/2012,05/11/2012,675000,R,RESIDENCE,2012
2022,278.2,03/07/2012,05/02/2012,2000000,R,RESIDENCE,2012
2026,,04/03/2012,05/08/2012,2075000,R,RESIDENCE,2012
2022,,05/03/2012,05/10/2012,685000,3,HOME UNIT,2012
2022,,08/03/2012,05/07/2012,450000,R,RESIDENCE,2012
2033,,04/10/2012,05/08/2012,1060000,R,RESIDENCE,2012
2034,,01/01/2012,01/01/2012,575000,R,RESIDENCE,2012
2622,2668.0,04/05/2012,05/04/2012,450000,V,VACANT LAND,2012
2621,1570.0,02/03/2012,05/01/2012,262000,V,VACANT LAND,2012
2621,756.6,04/05/2012,05/03/2012,215000,V,VACANT LAND,2012
2621,700.0,03/05/2012,05/07/2012,217500,V,VACANT LAND,2012
2621,655.8,01/10/2012,05/07/2012,214500,V,VACANT LAND,2012
2622,618.0,04/04/2012,05/09/2012,258000,R,RESIDENCE,2012
2731,831.0,02/03/2012,05/07/2012,130000,V,VACANT LAND,2012
2731,4324.0,11/05/2012,01/04/2012,402600,3,COMMERCIAL,2012
2131,,03/07/2012,05/01/2012,376000,3,HOME UNIT,2012
2170,,02/07/2012,04/11/2012,222000,R,RESIDENCE,2012
2168,594.4,04/04/2012,05/10/2012,355000,R,RESIDENCE,2012
2170,500.1,04/03/2012,05/11/2012,520000,R,RESIDENCE,2012
2171,364.4,04/02/2012,05/07/2012,220900,V,VACANT LAND,2012
2171,375.0,04/02/2012,05/02/2012,245900,V,VACANT LAND,2012
2171,470.7,04/03/2012,05/03/2012,258900,V,VACANT LAND,2012
2171,467.9,04/11/2012,05/09/2012,234900,V,VACANT LAND,2012
2171,394.4,04/04/2012,05/04/2012,248900,V,VACANT LAND,2012
2179,1.214,05/03/2012,05/03/2012,1370000,R,RESIDENCE,2012
2170,,05/04/2012,05/11/2012,300000,R,RESIDENCE,2012
2346,1073.0,04/11/2012,05/01/2012,110000,3,SHED&LAND,2012
2352,2.022,04/11/2012,05/09/2012,305500,R,RESIDENCE,2012
2354,84.47,12/07/2012,03/07/2012,635000,3,FARM,2012
2340,621.3,04/05/2012,05/03/2012,245000,R,RESIDENCE,2012
2340,4496.0,04/05/2012,05/02/2012,189000,V,VACANT LAND,2012
2582,1.207,08/04/2012,05/08/2012,415000,V,VACANT LAND,2012
2533,663.9,02/08/2012,05/11/2012,710000,R,RESIDENCE,2012
2534,657.6,04/05/2012,05/04/2012,1250000,R,RESIDENCE,2012
2370,1416.0,04/04/2012,05/10/2012,205000,R,RESIDENCE,2012
2110,,04/05/2012,05/01/2012,431500,R,RESIDENCE,2012
2110,1343.0,02/02/2012,05/04/2012,3850000,R,RESIDENCE,2012
2590,866.3,04/03/2012,05/11/2012,128000,R,RESIDENCE,2012
2450,2.05,10/10/2012,10/10/2012,110000,R,RESIDENCE,2012
2452,986.8,04/02/2012,05/07/2012,278000,R,RESIDENCE,2012
2450,832.0,02/03/2012,03/08/2012,410000,R,RESIDENCE,2012
2450,,04/05/2012,05/10/2012,940000,R,RESIDENCE,2012
2530,1599.7,03/10/2012,05/07/2012,430000,R,RESIDENCE,2012
2500,663.9,04/05/2012,04/05/2012,380000,R,RESIDENCE,2012
2517,,04/02/2012,05/09/2012,199000,R,RESIDENCE,2012
2530,562.0,03/09/2012,05/04/2012,310000,R,RESIDENCE,2012
2500,,04/11/2012,05/09/2012,295000,R,RESIDENCE,2012
2500,,05/07/2012,05/07/2012,365000,R,RESIDENCE,2012
2518,2453.0,06/03/2012,05/08/2012,875000,V,VACANT LAND,2012
2515,614.7,12/06/2012,05/02/2012,575000,V,VACANT LAND,2012
2515,729.2,12/02/2012,05/10/2012,645000,V,VACANT LAND,2012
2518,655.0,03/09/2012,05/08/2012,530000,R,RESIDENCE,2012
2500,923.2,02/06/2012,05/10/2012,920000,R,RESIDENCE,2012
2526,720.8,04/11/2012,05/11/2012,395000,3,HOUSE,2012
2502,588.3,04/12/2012,05/10/2012,510000,R,RESIDENCE,2012
2155,700.3,03/11/2012,05/07/2012,747000,R,RESIDENCE,2012
2769,389.5,04/05/2012,05/11/2012,557000,R,RESIDENCE,2012
2761,550.0,04/10/2012,05/08/2012,377000,R,RESIDENCE,2012
2762,803.0,11/12/2012,12/02/2012,401000,R,RESIDENCE,2012
2148,632.3,04/02/2012,05/07/2012,360000,R,RESIDENCE,2012
2761,464.7,04/05/2012,05/11/2012,420000,R,RESIDENCE,2012
2155,375.0,04/05/2012,05/10/2012,590000,R,RESIDENCE,2012
2760,837.4,04/12/2012,05/10/2012,295000,V,VACANT LAND,2012
2767,563.9,04/07/2012,05/07/2012,348000,R,RESIDENCE,2012
2147,711.0,03/03/2012,05/10/2012,632500,3,HOUSE,2012
2763,606.6,03/08/2012,05/03/2012,585000,R,RESIDENCE,2012
2147,556.4,04/07/2012,05/04/2012,477000,R,RESIDENCE,2012
2763,,04/04/2012,05/09/2012,375000,R,RESIDENCE,2012
2148,575.1,05/09/2012,05/09/2012,350000,R,RESIDENCE,2012
2770,,02/10/2012,05/10/2012,220500,R,RESIDENCE,2012
2762,473.3,03/03/2012,05/07/2012,490000,R,RESIDENCE,2012
2763,608.0,04/04/2012,05/11/2012,474000,R,RESIDENCE,2012
2766,,06/08/2012,05/09/2012,399990,R,RESIDENCE,2012
2766,,04/05/2012,05/10/2012,370000,R,RESIDENCE,2012
2761,570.0,02/10/2012,05/09/2012,365000,V,VACANT LAND,2012
2761,480.0,02/07/2012,05/09/2012,327000,V,VACANT LAND,2012
2761,610.0,05/12/2012,05/10/2012,399000,V,VACANT LAND,2012
2761,660.0,07/04/2012,05/10/2012,385000,V,VACANT LAND,2012
2761,480.0,02/11/2012,05/10/2012,331000,V,VACANT LAND,2012
2767,437.3,03/09/2012,05/10/2012,305000,V,VACANT LAND,2012
2769,453.4,04/05/2012,05/09/2012,350000,V,VACANT LAND,2012
2594,9.55,06/02/2012,04/02/2012,260000,3,FARM/RURAL,2012
2795,,04/05/2012,05/10/2012,177000,R,RESIDENCE,2012
2795,263.1,03/09/2012,05/11/2012,173000,R,RESIDENCE,2012
2795,691.4,04/04/2012,05/09/2012,300000,R,RESIDENCE,2012
2795,1310.0,04/05/2012,05/10/2012,200000,R,RESIDENCE,2012
2795,19.424,04/04/2012,05/10/2012,155000,3,COTTAGE,2012
2795,981.1,02/08/2012,05/08/2012,350000,R,RESIDENCE,2012
2795,1039.0,04/04/2012,05/09/2012,395000,R,RESIDENCE,2012
2795,979.7,04/03/2012,05/08/2012,140000,V,VACANT LAND,2012
2220,,04/05/2012,05/10/2012,403000,R,RESIDENCE,2012
2221,1031.0,05/11/2012,05/11/2012,787500,R,RESIDENCE,2012
2221,366.7,03/10/2012,05/08/2012,1050000,R,RESIDENCE,2012
2223,,05/08/2012,05/08/2012,475000,R,RESIDENCE,2012
2587,385.7,04/05/2012,05/01/2012,110000,R,RESIDENCE,2012
2065,176.0,04/05/2012,05/07/2012,665000,R,RESIDENCE,2012
2066,727.2,03/12/2012,05/09/2012,1090000,R,RESIDENCE,2012
2425,670.2,04/02/2012,05/07/2012,302500,R,RESIDENCE,2012
2428,,03/10/2012,05/09/2012,205000,R,RESIDENCE,2012
2428,,04/11/2012,05/07/2012,337000,R,RESIDENCE,2012
2428,,03/09/2012,05/09/2012,390000,R,RESIDENCE,2012
2428,640.4,04/10/2012,05/08/2012,446500,R,RESIDENCE,2012
2428,1147.0,05/08/2012,05/08/2012,1550000,R,RESIDENCE,2012
2122,,03/01/2012,04/11/2012,370000,R,RESIDENCE,2012
2114,,03/09/2012,05/03/2012,465000,R,RESIDENCE,2012
2111,248.0,04/05/2012,05/11/2012,830000,R,RESIDENCE,2012
2300,,04/02/2012,05/07/2012,975000,R,RESIDENCE,2012
2287,,10/10/2012,04/10/2012,255950,R,RESIDENCE,2012
2287,,10/10/2012,04/10/2012,255950,R,RESIDENCE,2012
2300,,04/04/2012,05/09/2012,360000,3,HOME UNIT,2012
2298,430.0,03/08/2012,04/12/2012,496000,R,RESIDENCE,2012
2287,915.1,04/02/2012,05/07/2012,516000,R,RESIDENCE,2012
2289,,04/04/2012,05/09/2012,230000,R,RESIDENCE,2012
2289,,04/10/2012,05/04/2012,225000,R,RESIDENCE,2012
2289,733.5,02/09/2012,04/02/2012,465000,R,RESIDENCE,2012
2296,283.8,04/05/2012,04/05/2012,175000,R,RESIDENCE,2012
2299,,04/05/2012,05/10/2012,175000,R,RESIDENCE,2012
2291,,04/05/2012,05/03/2012,322000,R,RESIDENCE,2012
2291,,02/09/2012,04/11/2012,729000,3,HOME UNIT,2012
2296,234.21,04/03/2012,05/07/2012,338000,R,RESIDENCE,2012
2287,,04/05/2012,05/10/2012,220000,R,RESIDENCE,2012
2291,234.0,03/09/2012,05/08/2012,500000,R,RESIDENCE,2012
2216,,12/07/2012,05/08/2012,440000,R,RESIDENCE,2012
2216,373.1,04/04/2012,05/09/2012,1015000,R,RESIDENCE,2012
2219,,03/10/2012,05/09/2012,450000,R,RESIDENCE,2012
2207,,03/12/2012,05/09/2012,509000,R,RESIDENCE,2012
2480,1041.0,04/05/2012,05/03/2012,447000,R,RESIDENCE,2012
2480,594.4,05/03/2012,05/03/2012,245000,3,COMMERCIAL,2012
2480,782.9,04/03/2012,05/08/2012,310000,R,RESIDENCE,2012
2321,581.7,06/03/2012,05/02/2012,160000,V,VACANT LAND,2012
2323,600.1,04/04/2012,05/09/2012,198000,V,VACANT LAND,2012
2323,730.5,04/03/2012,05/03/2012,200000,V,VACANT LAND,2012
2323,529.0,04/03/2012,05/09/2012,329950,R,RESIDENCE,2012
2323,670.3,04/10/2012,05/09/2012,365000,R,RESIDENCE,2012
2320,697.5,04/04/2012,05/04/2012,192000,V,VACANT LAND,2012
2320,490.6,04/05/2012,05/04/2012,150550,V,VACANT LAND,2012
2322,630.0,08/02/2012,03/02/2012,218000,V,VACANT LAND,2012
2320,375.2,02/07/2012,05/07/2012,365000,R,RESIDENCE,2012
2102,,03/09/2012,05/10/2012,104500,3,COMMERCIAL,2012
2101,3.375,05/01/2012,05/01/2012,375000,R,RESIDENCE,2012
2102,,04/11/2012,04/11/2012,530000,3,COMMERCIAL,2012
2102,7715.0,08/06/2012,05/07/2012,2850000,R,RESIDENCE,2012
2106,670.3,03/08/2012,05/04/2012,995000,R,RESIDENCE,2012
2665,252.9,02/08/2012,03/08/2012,478125,3,FARM,2012
2060,,05/02/2012,05/11/2012,215000,R,RESIDENCE,2012
2089,,04/10/2012,05/09/2012,930000,R,RESIDENCE,2012
2089,,04/10/2012,05/09/2012,930000,R,RESIDENCE,2012
2090,,05/11/2012,05/11/2012,360000,R,RESIDENCE,2012
2060,,03/12/2012,05/01/2012,765000,R,RESIDENCE,2012
2060,,04/05/2012,04/05/2012,1500000,R,RESIDENCE,2012
2060,,04/05/2012,04/05/2012,1500000,R,RESIDENCE,2012
2060,,04/05/2012,04/05/2012,1500000,R,RESIDENCE,2012
2060,,04/05/2012,04/05/2012,1500000,R,RESIDENCE,2012
2060,,03/07/2012,05/02/2012,920000,R,RESIDENCE,2012
2061,,04/05/2012,05/10/2012,475000,R,RESIDENCE,2012
2065,,04/04/2012,05/09/2012,730000,R,RESIDENCE,2012
2065,,05/11/2012,05/11/2012,170000,3,,2012
2320,1079.3,04/11/2012,04/11/2012,175000,V,VACANT LAND,2012
2319,505.8,04/05/2012,05/01/2012,275000,R,RESIDENCE,2012
2324,510.9,03/09/2012,05/09/2012,224000,R,RESIDENCE,2012
2295,932.0,04/11/2012,05/08/2012,570000,R,RESIDENCE,2012
2571,649.5,04/12/2012,05/11/2012,450000,R,RESIDENCE,2012
2571,4341.0,05/07/2012,05/07/2012,185000,V,VACANT LAND,2012
2571,550.0,02/07/2012,05/10/2012,220000,V,VACANT LAND,2012
2350,2.072,04/12/2012,05/01/2012,320000,V,VACANT LAND,2012
2350,,03/07/2012,04/11/2012,160000,R,RESIDENCE,2012
2800,884.1,03/08/2012,05/08/2012,150000,V,VACANT LAND,2012
2800,789.2,04/12/2012,05/10/2012,443000,R,RESIDENCE,2012
2527,,04/05/2012,05/10/2012,258000,R,RESIDENCE,2012
2570,724.6,04/04/2012,05/09/2012,390000,V,VACANT LAND,2012
2567,323.0,04/11/2012,05/01/2012,315000,R,RESIDENCE,2012
2850,1012.0,04/04/2012,05/11/2012,217000,R,RESIDENCE,2012
2620,2.208,04/11/2012,05/11/2012,455000,V,VACANT LAND,2012
2619,,05/04/2012,05/04/2012,200000,R,RESIDENCE,2012
2620,921.0,06/08/2012,12/07/2012,377500,R,RESIDENCE,2012
2147,,04/04/2012,05/02/2012,521000,3,INDUSTRIAL UNI,2012
2150,71.0,04/09/2012,05/02/2012,375000,R,RESIDENCE,2012
2150,125.0,02/07/2012,05/08/2012,495000,R,RESIDENCE,2012
2088,,03/01/2012,05/10/2012,965000,R,RESIDENCE,2012
2063,645.0,12/09/2012,05/01/2012,4050000,R,RESIDENCE,2012
2064,,02/10/2012,05/10/2012,760000,R,RESIDENCE,2012
2068,351.7,03/09/2012,05/07/2012,995000,3,HOUSE,2012
2067,743.25,03/02/2012,05/11/2012,1550000,R,RESIDENCE,2012
2068,,04/04/2012,05/09/2012,662800,R,RESIDENCE,2012
2067,,04/03/2012,05/07/2012,691000,R,RESIDENCE,2012
2280,,04/05/2012,05/02/2012,165000,R,RESIDENCE,2012
2283,,05/02/2012,05/04/2012,345000,R,RESIDENCE,2012
2280,448.9,03/09/2012,05/04/2012,767000,R,RESIDENCE,2012
2282,,04/04/2012,05/07/2012,450000,R,RESIDENCE,2012
2265,720.0,12/08/2012,01/12/2012,162500,V,VACANT LAND,2012
2285,606.0,04/11/2012,05/09/2012,200000,V,VACANT LAND,2012
2290,,04/05/2012,05/10/2012,399000,R,RESIDENCE,2012
2285,730.9,04/05/2012,05/03/2012,190000,V,VACANT LAND,2012
2290,758.8,05/08/2012,05/08/2012,205000,R,RESIDENCE,2012
2285,733.5,04/05/2012,05/10/2012,360000,R,RESIDENCE,2012
2290,758.8,04/05/2012,05/03/2012,412000,R,RESIDENCE,2012
2282,787.0,04/04/2012,05/09/2012,495000,R,RESIDENCE,2012
2285,1107.0,04/05/2012,05/03/2012,500000,R,RESIDENCE,2012
2281,980.6,03/11/2012,05/10/2012,835000,R,RESIDENCE,2012
2283,512.2,04/03/2012,05/04/2012,329000,R,RESIDENCE,2012
2281,1001.0,04/05/2012,05/10/2012,700000,R,RESIDENCE,2012
2283,613.11,04/02/2012,05/11/2012,655000,R,RESIDENCE,2012
2280,670.3,03/12/2012,05/04/2012,1080000,R,RESIDENCE,2012
2280,704.4,02/07/2012,05/01/2012,567500,R,RESIDENCE,2012
2283,556.4,04/03/2012,05/08/2012,252500,R,RESIDENCE,2012
2285,688.5,02/01/2012,04/05/2012,205000,V,VACANT LAND,2012
2476,1024.0,03/01/2012,04/05/2012,173000,R,RESIDENCE,2012
2474,48.07,01/03/2012,02/07/2012,520000,3,FARM,2012
2140,,04/01/2012,05/10/2012,389000,R,RESIDENCE,2012
2140,696.77,03/02/2012,05/11/2012,1455000,R,RESIDENCE,2012
2135,626.38,11/04/2012,05/04/2012,1300000,R,RESIDENCE,2012
2135,,03/08/2012,05/09/2012,599500,R,RESIDENCE,2012
2135,,03/08/2012,05/09/2012,599500,R,RESIDENCE,2012
2716,1.072,03/12/2012,04/05/2012,320000,3,COMMERCIAL,2012
2830,642.1,04/02/2012,05/11/2012,182000,R,RESIDENCE,2012
2830,761.3,04/10/2012,05/08/2012,308000,R,RESIDENCE,2012
2830,575.4,04/10/2012,05/11/2012,295000,R,RESIDENCE,2012
2830,461.1,04/04/2012,05/04/2012,212500,R,RESIDENCE,2012
2830,1612.0,03/06/2012,05/01/2012,433000,R,RESIDENCE,2012
2830,639.9,04/04/2012,05/10/2012,225000,R,RESIDENCE,2012
2019,,04/05/2012,05/09/2012,563500,R,RESIDENCE,2012
2774,1334.0,04/05/2012,05/10/2012,359000,V,VACANT LAND,2012
2785,4452.0,04/01/2012,05/11/2012,515000,R,RESIDENCE,2012
2777,746.1,04/04/2012,05/09/2012,452000,R,RESIDENCE,2012
2539,952.2,04/05/2012,05/10/2012,120000,V,VACANT LAND,2012
2539,695.6,04/03/2012,05/04/2012,225000,R,RESIDENCE,2012
2540,540.6,04/03/2012,05/08/2012,325000,R,RESIDENCE,2012
2541,2788.0,11/09/2012,05/08/2012,320000,R,RESIDENCE,2012
2540,733.5,03/12/2012,05/04/2012,1050000,R,RESIDENCE,2012
2535,556.4,05/08/2012,05/08/2012,375000,R,RESIDENCE,2012
2540,1012.0,04/05/2012,05/10/2012,312500,R,RESIDENCE,2012
2540,923.2,04/05/2012,05/10/2012,365000,R,RESIDENCE,2012
2560,,04/05/2012,05/03/2012,250000,3,WAREHOUSE,2012
2566,4122.0,03/09/2012,05/09/2012,408000,V,VACANT LAND,2012
2565,500.0,04/12/2012,05/02/2012,190000,V,VACANT LAND,2012
2565,500.0,04/12/2012,05/02/2012,190000,V,VACANT LAND,2012
2565,500.8,04/12/2012,05/02/2012,190000,V,VACANT LAND,2012
2566,450.0,04/03/2012,05/03/2012,185000,V,VACANT LAND,2012
2560,727.2,04/05/2012,05/07/2012,300000,R,RESIDENCE,2012
2167,450.2,05/04/2012,05/08/2012,242000,V,VACANT LAND,2012
2167,451.6,05/11/2012,05/08/2012,242000,V,VACANT LAND,2012
2167,467.1,11/01/2012,05/08/2012,285000,V,VACANT LAND,2012
2167,460.3,02/08/2012,05/08/2012,285000,V,VACANT LAND,2012
2167,450.0,07/07/2012,05/11/2012,285000,V,VACANT LAND,2012
2167,450.0,08/09/2012,05/09/2012,280000,V,VACANT LAND,2012
2167,467.1,01/12/2012,05/08/2012,270000,V,VACANT LAND,2012
2167,382.2,11/04/2012,05/11/2012,265000,V,VACANT LAND,2012
2167,451.4,07/04/2012,05/11/2012,275000,V,VACANT LAND,2012
2167,400.5,11/10/2012,05/11/2012,260000,V,VACANT LAND,2012
2167,354.3,11/02/2012,05/08/2012,509000,R,RESIDENCE,2012
2650,926.2,04/02/2012,05/10/2012,130000,V,VACANT LAND,2012
2650,768.8,04/04/2012,05/02/2012,163000,R,RESIDENCE,2012
2650,499.5,05/04/2012,05/11/2012,195000,R,RESIDENCE,2012
2650,670.3,04/05/2012,05/07/2012,140000,R,RESIDENCE,2012
2650,733.5,04/03/2012,05/08/2012,245000,R,RESIDENCE,2012
2866,168.5,04/12/2012,05/09/2012,265000,R,RESIDENCE,2012
2644,1012.0,04/04/2012,05/04/2012,123000,R,RESIDENCE,2012
2644,1012.0,04/11/2012,05/11/2012,155000,R,RESIDENCE,2012
2642,2.023,04/05/2012,05/10/2012,265000,3,FARM,2012
2680,809.4,03/06/2012,04/04/2012,315000,R,RESIDENCE,2012
2680,904.3,04/11/2012,05/09/2012,330000,R,RESIDENCE,2012
2575,1011.0,04/04/2012,05/04/2012,375000,R,RESIDENCE,2012
2571,4279.0,03/09/2012,05/11/2012,535000,R,RESIDENCE,2012
2576,984.7,04/03/2012,05/11/2012,385000,R,RESIDENCE,2012
2575,7699.0,04/05/2012,05/11/2012,865000,R,RESIDENCE,2012
2871,1149.0,04/02/2012,05/03/2012,209000,3,OFFICE,2012
2747,,04/02/2012,05/11/2012,255000,R,RESIDENCE,2012
2760,,03/08/2012,05/08/2012,297250,R,RESIDENCE,2012
2745,603.0,04/08/2012,05/11/2012,400000,R,RESIDENCE,2012
2749,2.023,04/05/2012,05/07/2012,795000,R,RESIDENCE,2012
2750,399.6,03/09/2012,05/04/2012,382000,R,RESIDENCE,2012
2747,300.0,11/03/2012,05/02/2012,419000,R,RESIDENCE,2012
2749,695.2,07/07/2012,05/04/2012,595600,R,RESIDENCE,2012
2745,827.9,04/02/2012,05/04/2012,315000,V,VACANT LAND,2012
2747,550.6,04/11/2012,05/09/2012,262500,V,VACANT LAND,2012
2671,,04/04/2012,05/04/2012,220000,R,RESIDENCE,2012
2640,746.0,04/11/2012,05/10/2012,385000,R,RESIDENCE,2012
2640,1200.0,03/07/2012,05/08/2012,450000,R,RESIDENCE,2012
2640,720.8,04/12/2012,05/07/2012,289000,R,RESIDENCE,2012
2640,5010.0,11/07/2012,03/12/2012,302500,V,VACANT LAND,2012
2489,800.0,05/03/2012,05/03/2012,225000,R,RESIDENCE,2012
2487,589.1,02/09/2012,05/01/2012,210000,V,VACANT LAND,2012
2485,,04/05/2012,05/08/2012,279000,3,HOME UNIT,2012
2484,2.698,03/02/2012,04/02/2012,440000,R,RESIDENCE,2012
2484,48.83,02/10/2012,03/08/2012,570000,R,RESIDENCE,2012
2486,,04/11/2012,05/10/2012,102500,R,RESIDENCE,2012
2485,,04/12/2012,05/11/2012,175000,R,RESIDENCE,2012
2485,,03/05/2012,05/11/2012,285000,R,RESIDENCE,2012
2486,298.6,04/05/2012,05/08/2012,340000,R,RESIDENCE,2012
2487,,04/04/2012,05/04/2012,240000,R,RESIDENCE,2012
2486,,03/09/2012,05/01/2012,275000,R,RESIDENCE,2012
2486,,04/05/2012,05/07/2012,272500,R,RESIDENCE,2012
2484,8.517,04/04/2012,05/04/2012,527000,R,RESIDENCE,2012
2487,,03/07/2012,05/09/2012,550000,R,RESIDENCE,2012
2489,981.3,04/03/2012,05/01/2012,295000,V,VACANT LAND,2012
2087,320.5,05/02/2012,05/07/2012,175000,R,RESIDENCE,2012
2097,,03/07/2012,04/11/2012,427500,R,RESIDENCE,2012
2096,,03/09/2012,05/11/2012,600000,R,RESIDENCE,2012
2100,3072.0,11/03/2012,12/01/2012,2350000,3,COMMERCIAL,2012
2099,671.5,04/07/2012,05/11/2012,918000,R,RESIDENCE,2012
2333,8676.0,03/05/2012,04/05/2012,225000,V,VACANT LAND,2012
2333,822.0,04/11/2012,05/09/2012,343000,R,RESIDENCE,2012
2333,606.6,04/05/2012,05/10/2012,330000,R,RESIDENCE,2012
2333,44.75,12/09/2012,05/09/2012,350000,R,RESIDENCE,2012
2330,861.0,04/04/2012,05/10/2012,198000,V,VACANT LAND,2012
2330,18.62,04/01/2012,05/04/2012,2825000,3,FARM,2012
2072,,03/05/2012,05/08/2012,850000,R,RESIDENCE,2012
2070,,04/12/2012,05/10/2012,1045000,R,RESIDENCE,2012
2070,,04/12/2012,05/11/2012,715000,R,RESIDENCE,2012
2072,,06/10/2012,05/02/2012,545000,R,RESIDENCE,2012
2072,,05/12/2012,05/04/2012,795000,R,RESIDENCE,2012
2072,,06/10/2012,05/02/2012,635000,R,RESIDENCE,2012
2072,,06/11/2012,05/02/2012,850000,R,RESIDENCE,2012
2072,,06/10/2012,05/02/2012,685000,R,RESIDENCE,2012
2072,,07/12/2012,05/02/2012,500000,R,RESIDENCE,2012
2073,870.0,03/02/2012,05/04/2012,971600,R,RESIDENCE,2012
2073,812.7,03/02/2012,05/01/2012,2595000,R,RESIDENCE,2012
2074,766.3,03/03/2012,05/11/2012,890000,R,RESIDENCE,2012
2220,102.0,03/01/2012,05/11/2012,503000,R,RESIDENCE,2012
2209,,03/08/2012,05/08/2012,402000,R,RESIDENCE,2012
2209,,03/08/2012,05/08/2012,402000,R,RESIDENCE,2012
