post_code,area,contract_date,settlement_date,purchase_price,nature_of_property,primary_purpose,year
2550,373.1,05/09/2012,05/09/2012,182500,3,OFFICE,2012
2551,1170.0,03/07/2012,05/07/2012,265000,R,RESIDENCE,2012
2549,15.22,03/05/2012,05/03/2012,135000,V,VACANT LAND,2012
2257,,05/01/2012,05/01/2012,145000,R,RESIDENCE,2012
2257,486.9,04/05/2012,05/09/2012,372500,R,RESIDENCE,2012
2250,604.0,05/11/2012,05/11/2012,280000,R,RESIDENCE,2012
2250,,04/02/2012,05/11/2012,267000,R,RESIDENCE,2012
2251,524.8,04/11/2012,05/09/2012,430000,R,RESIDENCE,2012
2250,,04/05/2012,05/11/2012,265000,R,RESIDENCE,2012
2251,,02/07/2012,05/04/2012,205000,3,,2012
2230,,03/10/2012,05/02/2012,615000,R,RESIDENCE,2012
2233,999.1,04/04/2012,05/11/2012,885000,R,RESIDENCE,2012
2232,727.2,03/02/2012,05/11/2012,615000,R,RESIDENCE,2012
2232,,05/09/2012,05/09/2012,120000,3,STRATA FACTOR,2012
2231,1445.37,03/02/2012,05/09/2012,1350000,R,RESIDENCE,2012
2230,,03/11/2012,05/07/2012,525000,R,RESIDENCE,2012
2224,556.4,04/02/2012,05/09/2012,845000,R,RESIDENCE,2012
2229,769.62,01/11/2012,05/08/2012,1450000,R,RESIDENCE,2012
2232,,12/08/2012,05/07/2012,345000,R,RESIDENCE,2012
2232,512.2,04/05/2012,05/10/2012,520000,R,RESIDENCE,2012
2224,,03/07/2012,04/02/2012,930000,R,RESIDENCE,2012
2229,,04/02/2012,05/10/2012,260000,R,RESIDENCE,2012
2232,,03/11/2012,04/04/2012,465000,R,RESIDENCE,2012
2230,817.7,03/05/2012,05/07/2012,925000,V,VACANT LAND,2012
2233,671.5,04/03/2012,05/04/2012,600000,R,RESIDENCE,2012
2232,,02/10/2012,04/10/2012,383000,3,HOME UNIT,2012
2232,575.4,02/11/2012,05/11/2012,675000,R,RESIDENCE,2012
2234,991.5,04/02/2012,05/11/2012,640000,R,RESIDENCE,2012
2229,650.0,03/12/2012,05/11/2012,825000,R,RESIDENCE,2012
2832,1880.0,03/05/2012,04/03/2012,1250000,3,FARM,2012
2705,630.0,04/02/2012,05/04/2012,120000,3,HOUSE,2012
2136,535.02,03/09/2012,05/04/2012,915000,R,RESIDENCE,2012
2164,,01/06/2012,01/09/2012,800000,3,FACTORY UNIT,2012
2166,,04/02/2012,05/09/2012,340000,R,RESIDENCE,2012
