post_code,area,contract_date,settlement_date,purchase_price,nature_of_property,primary_purpose,year
2116,580.64,11/11/2023,12/11/2023,1650000,R,RESIDENCE,2023
2116,,11/01/2023,12/08/2023,940000,R,RESIDENCE,2023
2145,670.3,12/06/2023,12/08/2023,200000,R,RESIDENCE,2023
2117,626.0,10/11/2023,12/08/2023,1710000,R,RESIDENCE,2023
2116,,11/04/2023,12/08/2023,980000,R,RESIDENCE,2023
2150,,10/12/2023,12/08/2023,600000,R,RESIDENCE,2023
2118,,11/04/2023,12/12/2023,828000,R,RESIDENCE,2023
2121,,11/03/2023,12/08/2023,842500,R,RESIDENCE,2023
2150,104.0,11/03/2023,12/08/2023,908000,R,RESIDENCE,2023
2121,,11/01/2023,12/08/2023,1065000,R,RESIDENCE,2023
2150,,05/03/2023,10/05/2023,2146000,R,RESIDENCE,2023
2150,,03/03/2023,10/09/2023,2071000,R,RESIDENCE,2023
2121,430.8,10/11/2023,12/12/2023,2280000,R,RESIDENCE,2023
2145,620.9,09/08/2023,12/12/2023,1250000,R,RESIDENCE,2023
2150,,05/03/2023,10/05/2023,2146000,R,RESIDENCE,2023
2150,,03/03/2023,10/09/2023,2071000,R,RESIDENCE,2023
2118,841.0,10/10/2023,12/12/2023,2690000,R,RESIDENCE,2023
2152,930.0,11/07/2023,12/12/2023,700000,R,RESIDENCE,2023
2151,798.0,10/05/2023,12/11/2023,1849000,R,RESIDENCE,2023
2150,,11/06/2023,12/11/2023,443000,R,RESIDENCE,2023
2150,,11/07/2023,12/12/2023,505000,R,RESIDENCE,2023
2118,220.0,11/10/2023,12/08/2023,1100000,R,RESIDENCE,2023
2142,,11/09/2023,12/11/2023,492000,R,RESIDENCE,2023
2121,,11/03/2023,12/08/2023,740000,R,RESIDENCE,2023
2121,803.0,09/09/2023,12/11/2023,2750000,R,RESIDENCE,2023
2121,,11/02/2023,12/11/2023,1864000,R,RESIDENCE,2023
2117,328.6,11/11/2023,12/11/2023,1680000,R,RESIDENCE,2023
2150,158.0,07/12/2023,09/04/2023,1524000,R,RESIDENCE,2023
2150,122.0,08/02/2023,09/12/2023,1219000,R,RESIDENCE,2023
2150,105.0,11/01/2023,12/11/2023,1080000,R,RESIDENCE,2023
2145,325.6,11/01/2023,12/11/2023,1480000,R,RESIDENCE,2023
2150,197.0,05/03/2023,10/05/2023,2146000,R,RESIDENCE,2023
2150,203.0,03/03/2023,10/09/2023,2071000,R,RESIDENCE,2023
2127,,11/06/2023,12/11/2023,673000,R,RESIDENCE,2023
2152,,11/06/2023,12/08/2023,492500,R,RESIDENCE,2023
2142,,10/06/2023,12/08/2023,517000,R,RESIDENCE,2023
2127,,11/03/2023,12/08/2023,760000,R,RESIDENCE,2023
2150,,11/07/2023,12/08/2023,722500,R,RESIDENCE,2023
2115,331.2,11/10/2023,12/11/2023,1800000,R,RESIDENCE,2023
2160,566.78,10/07/2023,12/08/2023,1780000,R,RESIDENCE,2023
2142,366.7,10/06/2023,12/08/2023,1300000,R,RESIDENCE,2023
2145,,11/02/2023,12/08/2023,680000,R,RESIDENCE,2023
2160,834.8,12/08/2023,12/11/2023,900000,R,RESIDENCE,2023
2145,,11/04/2023,12/11/2023,575000,R,RESIDENCE,2023
2145,600.7,09/02/2023,12/11/2023,1550000,R,RESIDENCE,2023
