area,contract_date,purchase_price,year,post_code
0.0,19/10/1990,182000,1990,2046
622.0,13/12/1990,371000,1990,2046
546.0,31/05/1990,302000,1990,2046
3.0,29/06/1990,180000,1990,2325
717.0,23/11/1990,205000,1990,2176
614.0,14/09/1990,200000,1990,2176
600.0,08/06/1990,169000,1990,2176
594.0,09/11/1990,166000,1990,2176
801.0,09/07/1990,117500,1990,2176
416.0,17/12/1990,135950,1990,2176
550.0,26/07/1990,161000,1990,2176
4.0,08/08/1990,105000,1990,2326
0.0,19/12/1990,150000,1990,2289
664.0,16/11/1990,103000,1990,2289
1012.0,31/10/1990,110000,1990,2289
,29/10/1990,145000,1990,2325
1011.0,16/11/1990,110000,1990,2325
0.0,26/06/1990,125000,1990,2046
0.0,16/11/1990,120000,1990,2046
0.0,23/02/1990,160000,1990,2046
0.0,20/07/1990,160000,1990,2046
0.0,11/01/1990,209000,1990,2046
800.0,20/11/1990,200000,1990,2046
426.0,21/12/1990,205000,1990,2046
0.0,19/12/1990,124000,1990,2289
,22/11/1990,124000,1990,2289
0.0,01/05/1990,133000,1990,2289
0.0,25/05/1990,177000,1990,2046
0.0,18/07/1990,191500,1990,2046
0.0,26/07/1990,185000,1990,2046
0.0,21/12/1990,230000,1990,2046
0.0,11/04/1990,178000,1990,2046
720.0,18/05/1990,160000,1990,2176
762.0,13/07/1990,115000,1990,2176
732.0,26/09/1990,120000,1990,2176
587.0,23/05/1990,150000,1990,2176
5.282,20/10/1990,155000,1990,2336
1088.0,24/10/1990,135000,1990,2336
8498.0,14/11/1990,205000,1990,2336
525.0,29/10/1990,108000,1990,2289
734.0,08/10/1990,135000,1990,2289
0.0,15/08/1990,115000,1990,2289
0.0,16/02/1990,116000,1990,2289
0.0,14/09/1990,155000,1990,2289
3.0,12/02/1990,180000,1990,2046
0.0,23/05/1990,198000,1990,2046
2572.0,12/02/1990,180000,1990,2046
700.0,10/05/1990,193000,1990,2176
778.0,05/07/1990,168500,1990,2176
550.0,02/05/1990,204000,1990,2176
594.0,04/04/1990,111000,1990,2176
613.0,20/12/1990,211000,1990,2176
590.0,31/08/1990,165000,1990,2176
1150.0,23/05/1990,165400,1990,2176
697.0,20/12/1990,400000,1990,2046
0.0,13/07/1990,180000,1990,2046
0.0,19/12/1990,180000,1990,2046
305.0,30/08/1990,277000,1990,2046
476.0,27/08/1990,300500,1990,2046
0.0,05/10/1990,289000,1990,2046
1260.0,31/05/1990,1440000,1990,2046
0.0,06/02/1990,1850000,1990,2046
0.0,19/04/1990,196000,1990,2046
0.0,17/10/1990,160000,1990,2046
0.0,02/11/1990,480000,1990,2046
0.0,01/06/1990,315000,1990,2046
472.0,18/07/1990,290000,1990,2046
756.0,17/08/1990,104600,1990,2325
758.4,22/11/1990,105000,1990,2325
0.0,26/09/1990,155000,1990,2046
1456.0,06/04/1990,200000,1990,2289
0.0,09/02/1990,103500,1990,2289
372.0,09/05/1990,270000,1990,2046
1463.0,25/05/1990,115000,1990,2326
376.0,05/06/1990,111000,1990,2046
379.0,25/05/1990,230000,1990,2046
639.0,09/03/1990,102000,1990,2176
1079.0,25/01/1990,112500,1990,2176
1245.0,29/08/1990,109500,1990,2176
806.6,13/11/1990,105000,1990,2336
740.0,14/09/1990,175000,1990,2289
0.0,18/01/1990,220000,1990,2289
511.0,30/03/1990,237000,1990,2046
900.0,20/11/1990,120000,1990,2176
613.0,01/06/1990,132000,1990,2176
626.0,31/08/1990,124000,1990,2176
820.0,23/04/1990,130000,1990,2176
659.0,21/11/1990,187500,1990,2176
745.0,23/01/1990,189000,1990,2176
567.0,23/02/1990,198000,1990,2176
550.0,24/04/1990,195000,1990,2176
0.0,08/11/1990,270000,1990,2289
467.9,14/12/1990,112000,1990,2289
416.0,14/12/1990,216000,1990,2046
499.0,29/03/1990,242000,1990,2046
501.0,23/10/1990,177000,1990,2046
459.0,03/12/1990,510000,1990,2046
697.0,05/10/1990,398000,1990,2046
0.0,07/09/1990,180000,1990,2046
,24/12/1990,460000,1990,2046
725.0,12/07/1990,275000,1990,2176
1001.0,19/04/1990,333000,1990,2176
703.0,16/11/1990,263000,1990,2176
659.0,19/12/1990,152500,1990,2176
773.0,18/05/1990,110000,1990,2176
49.0,12/10/1990,250000,1990,2630
491.0,27/04/1990,295000,1990,2046
833.0,16/11/1990,540000,1990,2326
424.0,26/11/1990,120000,1990,2046
600.0,31/10/1990,999999,1990,2176
600.0,14/12/1990,158000,1990,2176
601.0,29/06/1990,135000,1990,2176
700.0,03/07/1990,282000,1990,2176
700.0,23/11/1990,110000,1990,2176
600.0,08/06/1990,147000,1990,2176
392.0,07/12/1990,1100000,1990,2325
0.0,21/08/1990,305000,1990,2325
0.0,15/12/1990,569585,1990,2325
0.0,18/10/1990,190000,1990,2325
743.0,16/10/1990,137000,1990,2176
2010.0,08/02/1990,114500,1990,2176
1002.0,02/02/1990,101250,1990,2176
1000.0,19/10/1990,115250,1990,2176
2001.0,12/09/1990,124250,1990,2176
2001.0,30/03/1990,120500,1990,2176
,08/11/1990,270000,1990,2289
468.0,14/12/1990,112000,1990,2289
468.0,25/05/1990,115000,1990,2289
342.0,30/10/1990,137000,1990,2289
0.0,30/03/1990,225000,1990,2046
0.0,09/04/1990,299300,1990,2046
0.0,07/03/1990,320000,1990,2046
0.0,12/06/1990,275000,1990,2046
0.0,16/06/1990,255000,1990,2046
0.0,24/09/1990,315000,1990,2046
0.0,06/12/1990,275000,1990,2046
328.0,20/09/1990,169000,1990,2046
177.0,05/06/1990,190000,1990,2046
0.0,19/02/1990,190000,1990,2046
706.0,08/11/1990,513000,1990,2046
381.0,10/10/1990,160000,1990,2046
0.0,05/09/1990,123500,1990,2046
448.0,09/05/1990,220000,1990,2046
399.0,16/03/1990,198000,1990,2046
697.0,20/12/1990,380000,1990,2046
0.0,03/04/1990,195000,1990,2046
0.0,15/06/1990,185000,1990,2046
0.0,29/06/1990,221500,1990,2046
,16/10/1990,169000,1990,2289
0.0,16/10/1990,169000,1990,2289
,23/10/1990,120000,1990,2289
0.0,19/10/1990,110000,1990,2560
462.0,19/12/1990,107000,1990,2289
635.5,22/11/1990,170000,1990,2289
584.0,25/05/1990,180000,1990,2289
560.0,22/06/1990,108000,1990,2527
569.0,15/11/1990,131000,1990,2527
575.0,05/03/1990,115000,1990,2289
556.4,24/09/1990,170000,1990,2289
588.0,02/05/1990,170000,1990,2289
670.0,18/10/1990,149000,1990,2527
34.0,10/09/1990,500000,1990,2527
620.0,27/07/1990,133000,1990,2289
0.0,05/04/1990,140000,1990,2289
6956.0,18/06/1990,220000,1990,2289
771.0,24/10/1990,136000,1990,2289
0.0,06/07/1990,107000,1990,2289
,22/11/1990,118000,1990,2289
0.0,22/11/1990,118000,1990,2289
778.0,13/07/1990,127500,1990,2289
582.0,28/03/1990,148000,1990,2289
1758.0,22/05/1990,148000,1990,2546
594.0,17/08/1990,107000,1990,2289
476.0,15/08/1990,108000,1990,2289
439.0,21/05/1990,106000,1990,2289
639.0,24/08/1990,126000,1990,2289
600.7,19/12/1990,130000,1990,2289
0.0,19/10/1990,117500,1990,2289
575.0,05/10/1990,120000,1990,2289
329.0,10/10/1990,105000,1990,2289
790.0,23/03/1990,146000,1990,2289
581.7,07/11/1990,137000,1990,2289
853.6,26/10/1990,110000,1990,2289
582.0,07/11/1990,137000,1990,2289
743.0,20/04/1990,128000,1990,2753
1023.0,12/09/1990,108000,1990,2753
4002.0,24/10/1990,210000,1990,2753
14.54,09/03/1990,1700000,1990,2753
42.0,09/03/1990,170000,1990,2753
3.084,19/03/1990,280000,1990,2753
3.0,19/03/1990,280000,1990,2153
2.0,18/05/1990,215000,1990,2153
2.0,11/10/1990,220000,1990,2153
4002.0,24/10/1990,210000,1990,2153
17.0,30/11/1990,965000,1990,2153
575.0,16/01/1990,126000,1990,2527
854.0,26/10/1990,110000,1990,2289
695.0,13/09/1990,112000,1990,2527
695.0,02/07/1990,115000,1990,2527
,12/09/1990,149000,1990,2289
2323.0,30/03/1990,1100000,1990,2289
597.0,09/11/1990,126000,1990,2527
635.0,23/03/1990,109500,1990,2527
644.0,09/07/1990,121000,1990,2527
607.0,23/11/1990,193000,1990,2289
582.0,28/09/1990,125000,1990,2289
733.0,23/02/1990,130000,1990,2527
810.0,08/01/1990,160000,1990,2527
0.0,13/11/1990,129925,1990,2289
594.0,25/05/1990,180000,1990,2289
797.0,15/06/1990,113000,1990,2289
2.024,20/02/1990,170000,1990,2753
2.166,19/11/1990,410000,1990,2753
2.0,20/02/1990,170000,1990,2153
2.0,19/11/1990,410000,1990,2153
2.0,12/07/1990,187500,1990,2753
772.0,06/07/1990,145000,1990,2753
765.0,12/11/1990,117500,1990,2753
744.0,27/07/1990,146000,1990,2753
10.0,11/07/1990,165000,1990,2753
600.7,04/12/1990,140000,1990,2289
601.0,04/12/1990,140000,1990,2289
556.0,07/09/1990,150000,1990,2289
594.0,25/01/1990,110500,1990,2289
568.0,20/12/1990,115000,1990,2527
594.0,19/11/1990,115000,1990,2527
604.0,20/12/1990,128000,1990,2527
560.0,30/07/1990,113000,1990,2527
575.0,16/03/1990,143000,1990,2289
575.0,24/08/1990,102000,1990,2289
569.0,24/08/1990,122000,1990,2289
722.0,23/02/1990,119950,1990,2560
559.0,29/06/1990,118000,1990,2527
739.0,13/07/1990,108000,1990,2527
594.0,11/05/1990,106000,1990,2527
554.0,18/07/1990,497750,1990,2527
703.0,12/07/1990,180000,1990,2527
841.0,09/02/1990,120000,1990,2289
601.0,01/02/1990,113500,1990,2289
564.0,10/08/1990,122000,1990,2527
650.0,21/09/1990,112900,1990,2527
560.0,12/12/1990,110000,1990,2527
566.0,27/04/1990,127000,1990,2527
,18/12/1990,110000,1990,2289
0.0,28/08/1990,160000,1990,2289
663.9,03/12/1990,215000,1990,2289
613.0,09/11/1990,195000,1990,2289
776.0,05/11/1990,230000,1990,2289
644.0,01/02/1990,243000,1990,2289
,15/08/1990,115000,1990,2289
,14/11/1990,137500,1990,2289
703.1,21/12/1990,105000,1990,2289
588.0,12/04/1990,125000,1990,2289
0.0,31/05/1990,129950,1990,2289
,27/10/1990,112000,1990,2289
93.0,07/02/1990,149500,1990,2729
355.0,24/09/1990,436355,1990,2729
632.0,29/10/1990,173000,1990,2289
556.0,18/07/1990,167000,1990,2289
626.0,24/05/1990,140000,1990,2289
506.0,27/09/1990,185000,1990,2289
620.0,30/03/1990,149000,1990,2289
684.0,03/08/1990,235000,1990,2289
620.0,12/09/1990,110000,1990,2527
576.0,31/08/1990,110000,1990,2527
557.0,28/02/1990,110000,1990,2527
557.0,13/11/1990,108500,1990,2527
2.0,09/01/1990,150000,1990,2527
1788.0,15/01/1990,140000,1990,2527
1151.0,01/06/1990,150000,1990,2527
616.0,05/09/1990,130000,1990,2527
659.0,05/02/1990,137500,1990,2527
800.0,01/02/1990,175000,1990,2527
450.0,17/05/1990,422500,1990,2527
576.0,18/12/1990,122250,1990,2527
563.0,27/09/1990,125000,1990,2289
565.0,19/10/1990,145000,1990,2289
608.0,06/04/1990,106500,1990,2289
683.0,20/07/1990,149000,1990,2289
689.2,08/11/1990,155000,1990,2289
0.0,19/10/1990,105000,1990,2289
581.7,15/06/1990,115000,1990,2289
702.0,14/11/1990,108000,1990,2640
720.0,12/09/1990,133000,1990,2640
1209.0,20/07/1990,147000,1990,2640
663.0,14/12/1990,110000,1990,2640
741.0,21/01/1990,210000,1990,2640
1180.0,19/07/1990,160000,1990,2640
8018.0,19/01/1990,104000,1990,2640
565.0,26/10/1990,116500,1990,2527
556.0,06/03/1990,106000,1990,2527
556.0,26/02/1990,115000,1990,2527
556.0,08/06/1990,135000,1990,2527
657.0,14/02/1990,155000,1990,2527
575.0,15/03/1990,122000,1990,2527
561.0,22/06/1990,112000,1990,2527
562.0,25/10/1990,145000,1990,2527
638.0,30/04/1990,103000,1990,2527
749.0,20/07/1990,156000,1990,2527
557.0,10/12/1990,120000,1990,2527
560.0,31/08/1990,114000,1990,2527
1341.0,16/11/1990,190000,1990,2527
50.0,10/08/1990,440000,1990,2527
1145.0,30/03/1990,245000,1990,2640
3.0,23/04/1990,150000,1990,2640
2.0,24/08/1990,750000,1990,2640
640.0,20/04/1990,108000,1990,2640
0.0,28/08/1990,115000,1990,2640
0.0,12/09/1990,127000,1990,2640
598.0,20/12/1990,131000,1990,2527
942.0,29/06/1990,115000,1990,2640
