area,contract_date,purchase_price,year,post_code
554.6,08/08/1995,245000,1995,2763
541.1,22/12/1995,189950,1995,2763
6.0,06/09/1995,112500,1995,2763
541.1,31/10/1995,230784,1995,2763
541.1,03/03/1995,227150,1995,2763
6.0,06/03/1995,104000,1995,2763
601.0,18/04/1995,237000,1995,2763
541.1,12/07/1995,235000,1995,2763
575.9,15/08/1995,198800,1995,2763
2533.0,10/11/1995,278000,1995,2046
385.7,12/09/1995,240000,1995,2046
360.4,12/05/1995,125000,1995,2046
,20/09/1995,235000,1995,2046
,13/12/1995,267000,1995,2046
1394.0,13/10/1995,190000,1995,2046
600.3,26/07/1995,327500,1995,2176
600.3,10/06/1995,265000,1995,2176
700.3,18/10/1995,336000,1995,2176
2.5,05/07/1995,520000,1995,2630
467.9,03/08/1995,105000,1995,2289
,25/01/1995,123500,1995,2289
,06/10/1995,130000,1995,2289
,13/02/1995,122000,1995,2289
,04/04/1995,238000,1995,2046
1619.0,08/09/1995,180000,1995,2326
,22/02/1995,103000,1995,2326
682.9,20/09/1995,176000,1995,2289
765.1,04/12/1995,185000,1995,2289
569.1,20/05/1995,188000,1995,2289
967.5,06/11/1995,154000,1995,2289
569.1,30/03/1995,118000,1995,2289
695.6,03/03/1995,132000,1995,2289
,10/03/1995,157000,1995,2289
607.0,29/10/1995,122000,1995,2289
657.6,20/02/1995,136000,1995,2289
478.17,05/09/1995,108000,1995,2289
,16/02/1995,120500,1995,2289
,16/08/1995,121500,1995,2289
,20/07/1995,116000,1995,2289
360.4,19/01/1995,128000,1995,2289
789.0,02/05/1995,195000,1995,2289
581.7,18/10/1995,130000,1995,2289
645.0,17/07/1995,132000,1995,2289
695.6,13/09/1995,128000,1995,2289
900.4,15/06/1995,370000,1995,2289
831.6,24/10/1995,335000,1995,2289
594.4,19/05/1995,200000,1995,2289
525.1,04/05/1995,120500,1995,2527
2974.0,17/08/1995,125000,1995,2527
2974.0,02/11/1995,118000,1995,2527
805.6,20/12/1995,205000,1995,2527
585.0,30/06/1995,155000,1995,2527
705.1,07/09/1995,120000,1995,2527
733.5,27/11/1995,140000,1995,2289
575.4,21/11/1995,117500,1995,2289
682.9,17/05/1995,154000,1995,2289
853.6,22/12/1995,132000,1995,2289
626.0,03/04/1995,137000,1995,2289
720.8,24/10/1995,172000,1995,2289
682.9,29/12/1995,144600,1995,2289
550.1,25/10/1995,126000,1995,2289
594.4,09/10/1995,120000,1995,2289
562.8,23/08/1995,255000,1995,2289
2023.0,03/04/1995,180000,1995,2729
1012.0,24/08/1995,125000,1995,2729
505.9,03/04/1995,180000,1995,2729
710.1,05/11/1995,129000,1995,2527
556.4,06/07/1995,130000,1995,2527
560.0,21/06/1995,136000,1995,2527
556.4,14/06/1995,130000,1995,2289
647.0,10/05/1995,196500,1995,2527
600.1,06/12/1995,144000,1995,2527
791.0,19/04/1995,360589,1995,2527
646.6,01/05/1995,136500,1995,2527
1709.0,22/03/1995,136000,1995,2527
36.76,07/04/1995,740000,1995,2527
1322.0,01/05/1995,148000,1995,2289
592.3,02/05/1995,280000,1995,2289
550.1,10/03/1995,130000,1995,2289
561.0,10/03/1995,114500,1995,2560
4047.0,12/08/1995,275000,1995,2560
,05/10/1995,118750,1995,2289
607.0,30/06/1995,122000,1995,2289
86.0,16/11/1995,348000,1995,2289
1031.0,23/01/1995,130000,1995,2289
765.1,03/07/1995,140000,1995,2289
2036.0,17/11/1995,200000,1995,2527
758.8,04/10/1995,126000,1995,2289
594.4,23/06/1995,120000,1995,2289
562.8,19/09/1995,126000,1995,2289
,14/03/1995,119500,1995,2289
758.8,04/05/1995,130125,1995,2289
607.0,24/11/1995,167000,1995,2289
613.2,18/10/1995,207000,1995,2289
848.5,06/11/1995,220000,1995,2527
575.4,07/12/1995,145000,1995,2289
1099.0,28/10/1995,300000,1995,2289
657.6,17/02/1995,179000,1995,2289
575.4,27/10/1995,117250,1995,2289
638.6,14/07/1995,154000,1995,2289
942.2,10/10/1995,122000,1995,2289
980.1,26/10/1995,125000,1995,2289
607.0,29/08/1995,106000,1995,2289
617.2,21/11/1995,130000,1995,2527
611.4,09/06/1995,120000,1995,2527
628.7,28/07/1995,160000,1995,2527
4395.0,28/06/1995,155000,1995,2753
702.0,04/10/1995,132000,1995,2527
702.0,02/06/1995,129500,1995,2527
300.7,31/05/1995,102000,1995,2527
567.0,09/02/1995,120000,1995,2527
18.05,22/02/1995,120000,1995,2729
679.2,09/06/1995,167000,1995,2527
510.0,11/12/1995,134000,1995,2527
787.1,05/06/1995,180000,1995,2527
2323.0,28/04/1995,986456,1995,2527
908.0,22/09/1995,146000,1995,2527
,21/08/1995,122000,1995,2289
,15/06/1995,115000,1995,2289
,25/01/1995,189000,1995,2289
,31/03/1995,129000,1995,2289
,23/01/1995,133000,1995,2289
,05/04/1995,133000,1995,2289
652.3,24/08/1995,138500,1995,2527
998.7,17/02/1995,140000,1995,2527
629.0,24/05/1995,130000,1995,2527
672.7,07/08/1995,150000,1995,2527
594.4,02/02/1995,125000,1995,2289
575.4,22/06/1995,127500,1995,2289
560.0,05/10/1995,152000,1995,2527
45.0,22/02/1995,150000,1995,2527
732.1,07/06/1995,165000,1995,2527
1816.0,09/02/1995,123000,1995,2527
570.7,29/08/1995,138000,1995,2527
505.9,29/09/1995,135500,1995,2289
373.1,19/06/1995,115000,1995,2289
,02/09/1995,170000,1995,2289
619.7,26/09/1995,195000,1995,2289
569.1,08/06/1995,156000,1995,2289
657.6,18/08/1995,138000,1995,2289
708.2,06/09/1995,174000,1995,2289
769.8,13/11/1995,179000,1995,2289
588.1,09/05/1995,172000,1995,2289
1029.0,02/03/1995,114000,1995,2527
802.2,03/11/1995,127000,1995,2527
568.5,31/10/1995,137000,1995,2527
568.5,17/03/1995,145000,1995,2527
722.0,27/11/1995,249000,1995,2527
639.8,06/09/1995,210000,1995,2527
,22/06/1995,178000,1995,2289
368.7,06/03/1995,123500,1995,2289
13.77,13/04/1995,140000,1995,2729
1.606,18/08/1995,129500,1995,2729
633.8,26/05/1995,176000,1995,2527
656.1,15/03/1995,165000,1995,2527
598.8,24/07/1995,185000,1995,2527
653.4,16/11/1995,175000,1995,2527
3598.0,20/02/1995,125000,1995,2527
3598.0,18/04/1995,126000,1995,2527
3598.0,25/05/1995,120000,1995,2527
3598.0,19/06/1995,128500,1995,2527
3598.0,22/09/1995,120000,1995,2527
3598.0,01/12/1995,120000,1995,2527
3598.0,08/12/1995,120000,1995,2527
919.5,20/03/1995,124000,1995,2527
638.6,19/06/1995,110000,1995,2289
556.4,05/12/1995,150000,1995,2289
531.1,13/09/1995,119000,1995,2289
562.8,09/01/1995,158000,1995,2289
613.4,24/07/1995,154000,1995,2289
499.5,21/11/1995,150000,1995,2289
556.4,23/06/1995,185000,1995,2289
1837.0,28/02/1995,140000,1995,2289
1837.0,06/06/1995,140000,1995,2289
1012.0,01/06/1995,105000,1995,2729
2024.0,26/04/1995,105000,1995,2729
629.7,09/02/1995,175000,1995,2527
671.8,21/09/1995,139000,1995,2527
8984.0,13/07/1995,113000,1995,2527
556.4,20/03/1995,123000,1995,2527
